SGD_number,site,parameter,predicted,actual_D1,actual_D2,actual_D3,actual_D4
0,Varari,silicate,0,,,,
0.01,Varari,silicate,0.072,,,,
0.03,Varari,silicate,0.218,,,,
0.05,Varari,silicate,0.3628,,,,
0.1,Varari,silicate,0.726,,,,
0.5,Varari,silicate,3.628,,,,
1,Varari,silicate,7.7256,,,,
2,Varari,silicate,14.512,,,,
4,Varari,silicate,29.02,,,,
0,Cabral,silicate,0,,,,
0.01,Cabral,silicate,0.0855,,,,
0.03,Cabral,silicate,0.257,,,,
0.05,Cabral,silicate,0.427,,,,
0.1,Cabral,silicate,0.855,,,,
0.5,Cabral,silicate,4.275,,,,
1,Cabral,silicate,8.55,,,,
2,Cabral,silicate,17.1,,,,
4,Cabral,silicate,34.2004,,,,