new_colonynumber,pH,sample_ID,SGD_number,site,salinity,date,light_dark,P_R,umol.cm2.hr,umol.cm2.hr_uncorr,phosphate_umolL,silicate_umolL,NN_umolL,ammonia_umolL
13,8.08,Cabral_Col5_Dil9_Light,4,Cabral,35.2,6/10/23,LIGHT,NP,0.2788310475397363,0.26087860567674903,0.12,24.72,0.04,0.39
14,8.08,Cabral_Col6_Dil9_Light,4,Cabral,35.2,6/10/23,LIGHT,NP,0.44332031027477714,0.4309337680540669,0.12,24.72,0.04,0.39
15,8.08,Cabral_Col7_Dil9_Light,4,Cabral,35.1,6/11/23,LIGHT,NP,0.2572332269576225,0.24328111394589613,0.06,23.61,1.31,18.74
16,8.08,Cabral_Col8_Dil9_Light,4,Cabral,35.1,6/11/23,LIGHT,NP,0.31723042245858396,0.2966394022567558,0.06,23.61,1.31,18.74
18,8.1,Cabral_Col10_Dil9_Light,4,Cabral,35.1,6/12/23,LIGHT,NP,0.4016882247416221,0.37308824245244265,0.07,25.7,0.32,1.99
17,8.1,Cabral_Col9_Dil9_Light,4,Cabral,35.1,6/12/23,LIGHT,NP,0.46963559817290584,0.4387178113031637,0.07,25.7,0.32,1.99
1,8.03,Varari_Col1_Dil9_Light,4,Varari,35.9,6/17/23,LIGHT,NP,0.3881100738471099,0.34427686209914443,0.13,22.86,3.21,5.31
2,8.03,Varari_Col2_Dil9_Light,4,Varari,35.9,6/17/23,LIGHT,NP,0.6632155462478181,0.6045906648760765,0.13,22.86,3.21,5.31
3,8.03,Varari_Col3_Dil9_Light,4,Varari,35.9,6/17/23,LIGHT,NP,0.4874828452156932,0.44834885215233805,0.13,22.86,3.21,5.31
4,8.06,Varari_Col4_Dil9_Light,4,Varari,35.3,6/18/23,LIGHT,NP,0.3163892129827145,0.29586632161563614,1.07,18.09,4.47,22.62
5,8.11,Varari_Col5_Dil9_Light,4,Varari,35,6/21/23,LIGHT,NP,0.392730334093491,0.3414081571714602,0.07,19.77,3.24,3.75
6,8.11,Varari_Col6_Dil9_Light,4,Varari,35,6/21/23,LIGHT,NP,0.5282091976194865,0.4912272796432894,0.07,19.77,3.24,3.75
7,8.06,Varari_Col7_Dil9_Light,4,Varari,35.2,6/22/23,LIGHT,NP,0.3269407336902223,0.2963827788423011,0.12,21.43,2.05,9.87
8,8.06,Varari_Col8_Dil9_Light,4,Varari,35.2,6/22/23,LIGHT,NP,0.5311884750454654,0.4905047512575646,0.12,21.43,2.05,9.87
13,8.14,Cabral_Col5_Dil1_Dark,0,Cabral,36.6,6/10/23,DARK,R,0.4392357367617106,0.48995335780355315,0.05,3.38,0.16,0.52
14,8.14,Cabral_Col6_Dil1_Dark,0,Cabral,36.6,6/10/23,DARK,R,0.4527847556909504,0.5157021954789396,0.05,3.38,0.16,0.52
15,8.09,Cabral_Col7_Dil1_Dark,0,Cabral,36.5,6/11/23,DARK,R,0.44750049253606466,0.496199341407645,0.03,4.24,0.54,21.41
16,8.09,Cabral_Col8_Dil1_Dark,0,Cabral,36.5,6/11/23,DARK,R,0.345120480205372,0.37796049186363284,0.03,4.24,0.54,21.41
18,8.06,Cabral_Col10_Dil1_Dark,0,Cabral,36.3,6/12/23,DARK,R,0.3792423753863472,0.4014465976542521,0.03,2.58,0.23,0.16
17,8.06,Cabral_Col9_Dil1_Dark,0,Cabral,36.3,6/12/23,DARK,R,0.33187177295456327,0.35383541564430426,0.03,2.58,0.23,0.16
1,8.06,Varari_Col1_Dil1_Dark,0,Varari,37.3,6/17/23,DARK,R,0.3716749889962369,0.47602571509720626,0.03,4.88,2.52,4.96
2,8.06,Varari_Col2_Dil1_Dark,0,Varari,37.3,6/17/23,DARK,R,0.37644138657150167,0.47892542225330537,0.03,4.88,2.52,4.96
3,8.06,Varari_Col3_Dil1_Dark,0,Varari,37.3,6/17/23,DARK,R,0.30978976802107133,0.3746668572356383,0.03,4.88,2.52,4.96
4,8.09,Varari_Col4_Dil1_Dark,0,Varari,36.4,6/18/23,DARK,R,0.3558666625323219,0.39194182570260494,0.05,3.63,0.99,1.49
6,8.09,Varari_Col6_Dil1_Dark,0,Varari,36.4,6/21/23,DARK,R,0.32704711935172853,0.4543795139424957,0.1,2.27,0.48,6.9
7,8.08,Varari_Col7_Dil1_Dark,0,Varari,36.4,6/22/23,DARK,R,0.2780534678304392,0.33597521001071606,0.03,2.45,0.6,4.44
8,8.08,Varari_Col8_Dil1_Dark,0,Varari,36.4,6/22/23,DARK,R,0.2560192913138998,0.2985172377404354,0.03,2.45,0.6,4.44
13,8.05,Cabral_Col5_Dil2_Dark,0.01,Cabral,36.5,6/10/23,DARK,R,0.4804914737317189,0.5179024585625268,0.05,3.49,1.04,0.57
14,8.05,Cabral_Col6_Dil2_Dark,0.01,Cabral,36.5,6/10/23,DARK,R,0.4918843598159794,0.5198365710821994,0.05,3.49,1.04,0.57
15,8.09,Cabral_Col7_Dil2_Dark,0.01,Cabral,36.6,6/11/23,DARK,R,0.32785900295100817,0.357264476328349,0.03,3.04,1.02,17.21
16,8.09,Cabral_Col8_Dil2_Dark,0.01,Cabral,36.6,6/11/23,DARK,R,0.38027797956362613,0.398999836466679,0.03,3.04,1.02,17.21
18,8.08,Cabral_Col10_Dil2_Dark,0.01,Cabral,36.6,6/12/23,DARK,R,0.4508337120271729,0.5053674434118169,0.03,2.98,0.07,<0.02
17,8.08,Cabral_Col9_Dil2_Dark,0.01,Cabral,36.6,6/12/23,DARK,R,0.3244900230109403,0.3919054728720469,0.03,2.98,0.07,<0.02
1,8.09,Varari_Col1_Dil2_Dark,0.01,Varari,37.4,6/17/23,DARK,R,0.37712463235516464,0.4303770441339252,0.06,4.51,4.67,4.07
2,8.09,Varari_Col2_Dil2_Dark,0.01,Varari,37.4,6/17/23,DARK,R,0.26408871238845155,0.3234416567947299,0.06,4.51,4.67,4.07
3,8.09,Varari_Col3_Dil2_Dark,0.01,Varari,37.4,6/17/23,DARK,R,0.2951897654363845,0.32408207541428463,0.06,4.51,4.67,4.07
4,8.01,Varari_Col4_Dil2_Dark,0.01,Varari,36.7,6/18/23,DARK,R,0.47628698750615706,0.48838330452370643,0.07,3.65,3.26,3.59
5,8.11,Varari_Col5_Dil2_Dark,0.01,Varari,36.4,6/21/23,DARK,R,0.33808904024022557,0.4047247251158707,0.04,1.78,0.52,1.77
6,8.11,Varari_Col6_Dil2_Dark,0.01,Varari,36.4,6/21/23,DARK,R,0.34760362544574047,0.4267848570121311,0.04,1.78,0.52,1.77
7,8.05,Varari_Col7_Dil2_Dark,0.01,Varari,36.4,6/22/23,DARK,R,0.29542219969709593,0.3433405801008431,0.06,2.55,0.72,1.64
8,8.05,Varari_Col8_Dil2_Dark,0.01,Varari,36.4,6/22/23,DARK,R,0.2674978769315645,0.3096162464499502,0.06,2.55,0.72,1.64
13,8.07,Cabral_Col5_Dil3_Dark,0.03,Cabral,36.6,6/10/23,DARK,R,0.37537953649445316,0.3921308996165033,0.04,4.11,0.28,0.7
14,8.07,Cabral_Col6_Dil3_Dark,0.03,Cabral,36.6,6/10/23,DARK,R,0.307717979130642,0.3186657276107312,0.04,4.11,0.28,0.7
15,8.08,Cabral_Col7_Dil3_Dark,0.03,Cabral,36.5,6/11/23,DARK,R,0.2906853471602816,0.31051009762592024,0.04,5.16,1.78,2.98
16,8.08,Cabral_Col8_Dil3_Dark,0.03,Cabral,36.5,6/11/23,DARK,R,0.2913300729493589,0.3072361543884871,0.04,5.16,1.78,2.98
18,8.05,Cabral_Col10_Dil3_Dark,0.03,Cabral,36.4,6/12/23,DARK,R,0.19509421872483507,0.22214521861712602,0.07,3.15,0.8,6.67
17,8.05,Cabral_Col9_Dil3_Dark,0.03,Cabral,36.4,6/12/23,DARK,R,0.29212098679321613,0.3321219909135591,0.07,3.15,0.8,6.67
1,8.07,Varari_Col1_Dil3_Dark,0.03,Varari,37.4,6/17/23,DARK,R,0.25653025899347554,0.28483835234840266,0.07,4.53,3.03,4.95
2,8.07,Varari_Col2_Dil3_Dark,0.03,Varari,37.4,6/17/23,DARK,R,0.23047711941709584,0.2798931512707147,0.07,4.53,3.03,4.95
3,8.07,Varari_Col3_Dil3_Dark,0.03,Varari,37.4,6/17/23,DARK,R,0.21520113298130472,0.26068163682875806,0.07,4.53,3.03,4.95
4,8.06,Varari_Col4_Dil3_Dark,0.03,Varari,36.7,6/18/23,DARK,R,0.329709990160547,0.3420638417432504,0.03,3.14,2.63,0.52
5,8.12,Varari_Col5_Dil3_Dark,0.03,Varari,36.3,6/21/23,DARK,R,0.2872755820637667,0.31720732550597275,0.04,1.93,1.79,7.35
6,8.12,Varari_Col6_Dil3_Dark,0.03,Varari,36.3,6/21/23,DARK,R,0.25270977278309775,0.28379910877732945,0.04,1.93,1.79,7.35
7,8.1,Varari_Col7_Dil3_Dark,0.03,Varari,36.4,6/22/23,DARK,R,0.2211134431884029,0.24570021433956268,0.11,2.39,0.83,1.67
8,8.1,Varari_Col8_Dil3_Dark,0.03,Varari,36.4,6/22/23,DARK,R,0.20593446683419186,0.22336470556603033,0.11,2.39,0.83,1.67
13,8.06,Cabral_Col5_Dil4_Dark,0.05,Cabral,36.5,6/10/23,DARK,R,0.3134957344420478,0.32915626179108437,0.05,3.13,3.25,0.76
14,8.06,Cabral_Col6_Dil4_Dark,0.05,Cabral,36.5,6/10/23,DARK,R,0.37545879266920085,0.40020952019754924,0.05,3.13,3.25,0.76
15,8.06,Cabral_Col7_Dil4_Dark,0.05,Cabral,36.5,6/11/23,DARK,R,0.3460177364762045,0.36626738410331283,0.03,3.79,0.14,0.86
16,8.06,Cabral_Col8_Dil4_Dark,0.05,Cabral,36.5,6/11/23,DARK,R,0.3815493991557245,0.3957054943826023,0.03,3.79,0.14,0.86
18,8.09,Cabral_Col10_Dil4_Dark,0.05,Cabral,36.6,6/12/23,DARK,R,0.32321251756499897,0.3536304920078096,0.04,4.14,0.86,2.16
17,8.09,Cabral_Col9_Dil4_Dark,0.05,Cabral,36.6,6/12/23,DARK,R,0.30651046949360333,0.36392518889707853,0.04,4.14,0.86,2.16
1,8.06,Varari_Col1_Dil4_Dark,0.05,Varari,37.3,6/17/23,DARK,R,0.4091955358856986,0.4353698869819123,0.08,4.82,1.87,3.32
2,8.06,Varari_Col2_Dil4_Dark,0.05,Varari,37.3,6/17/23,DARK,R,0.3517307623357659,0.3818914173219097,0.08,4.82,1.87,3.32
3,8.06,Varari_Col3_Dil4_Dark,0.05,Varari,37.3,6/17/23,DARK,R,0.31055536573100034,0.335580668219623,0.08,4.82,1.87,3.32
4,8.06,Varari_Col4_Dil4_Dark,0.05,Varari,36.5,6/18/23,DARK,R,Inf,Inf,0.06,2.89,1.63,0.79
5,8.11,Varari_Col5_Dil4_Dark,0.05,Varari,36.3,6/21/23,DARK,R,0.29539506241799746,0.393419784806263,0.04,1.86,0.28,0.22
6,8.11,Varari_Col6_Dil4_Dark,0.05,Varari,36.3,6/21/23,DARK,R,0.4062934098090356,0.5288152446011192,0.04,1.86,0.28,0.22
7,8.1,Varari_Col7_Dil4_Dark,0.05,Varari,36.4,6/22/23,DARK,R,0.2647747592569835,0.3062129803844296,0.06,2.24,0.47,2.25
8,8.1,Varari_Col8_Dil4_Dark,0.05,Varari,36.4,6/22/23,DARK,R,0.2749268438337668,0.31606201482765583,0.06,2.24,0.47,2.25
13,8.07,Cabral_Col5_Dil5_Dark,0.1,Cabral,36.5,6/10/23,DARK,R,0.46844826022504193,0.4836089497464543,0.06,5.23,0.17,0.43
14,8.07,Cabral_Col6_Dil5_Dark,0.1,Cabral,36.5,6/10/23,DARK,R,0.33946854972700985,0.3477619287162762,0.06,5.23,0.17,0.43
15,8.06,Cabral_Col7_Dil5_Dark,0.1,Cabral,36.5,6/11/23,DARK,R,0.39652463683112965,0.41341928158980046,0.03,4.33,0.45,0.95
16,8.06,Cabral_Col8_Dil5_Dark,0.1,Cabral,36.5,6/11/23,DARK,R,0.40961631223390255,0.4294889973150282,0.03,4.33,0.45,0.95
18,8.1,Cabral_Col10_Dil5_Dark,0.1,Cabral,36.4,6/12/23,DARK,R,0.32574462656086905,0.35137801966550736,0.04,3.67,0.51,12.78
17,8.1,Cabral_Col9_Dil5_Dark,0.1,Cabral,36.4,6/12/23,DARK,R,0.27275157956740215,0.29531285420725806,0.04,3.67,0.51,12.78
1,8.07,Varari_Col1_Dil5_Dark,0.1,Varari,37.3,6/17/23,DARK,R,0.38236477050956796,0.40880783387323666,0.05,5.27,2.5,6.31
2,8.07,Varari_Col2_Dil5_Dark,0.1,Varari,37.3,6/17/23,DARK,R,0.3453481858444735,0.3874726978766982,0.05,5.27,2.5,6.31
3,8.07,Varari_Col3_Dil5_Dark,0.1,Varari,37.3,6/17/23,DARK,R,0.3162611318945671,0.3387506174357206,0.05,5.27,2.5,6.31
4,8.07,Varari_Col4_Dil5_Dark,0.1,Varari,36.6,6/18/23,DARK,R,0.49408093300479916,0.5089699561449673,0.03,3.33,3.14,4.89
5,8.12,Varari_Col5_Dil5_Dark,0.1,Varari,36.3,6/21/23,DARK,R,0.29790192110407154,0.34429863438386205,0.27,2.63,1.32,9.69
6,8.12,Varari_Col6_Dil5_Dark,0.1,Varari,36.3,6/21/23,DARK,R,0.2980116824879761,0.3299683938732756,0.27,2.63,1.32,9.69
7,8.11,Varari_Col7_Dil5_Dark,0.1,Varari,36.5,6/22/23,DARK,R,0.2962150366926231,0.3212874951152281,0.05,2.68,0.7,3.11
8,8.11,Varari_Col8_Dil5_Dark,0.1,Varari,36.5,6/22/23,DARK,R,0.2574447216254746,0.2800922927457787,0.05,2.68,0.7,3.11
13,8.07,Cabral_Col5_Dil6_Dark,0.5,Cabral,36.4,6/10/23,DARK,R,0.3832337564267067,0.39652749329489617,0.13,6.59,0.4,2
14,8.07,Cabral_Col6_Dil6_Dark,0.5,Cabral,36.4,6/10/23,DARK,R,0.30468983410960404,0.3096967219241905,0.13,6.59,0.4,2
15,8.09,Cabral_Col7_Dil6_Dark,0.5,Cabral,36.3,6/11/23,DARK,R,0.3229126624645419,0.3469341593624562,0.04,6.59,0.6,8.48
16,8.09,Cabral_Col8_Dil6_Dark,0.5,Cabral,36.3,6/11/23,DARK,R,0.3817997880300324,0.40395831471013444,0.04,6.59,0.6,8.48
18,8.07,Cabral_Col10_Dil6_Dark,0.5,Cabral,36.3,6/12/23,DARK,R,0.2737800010077637,0.2797312126499883,0.04,6.04,0.37,2.01
17,8.07,Cabral_Col9_Dil6_Dark,0.5,Cabral,36.3,6/12/23,DARK,R,0.2709208796520268,0.2775057465643348,0.04,6.04,0.37,2.01
1,8.07,Varari_Col1_Dil6_Dark,0.5,Varari,37.1,6/17/23,DARK,R,0.2809810201871565,0.31691637827223545,0.05,7.07,2.23,4.4
2,8.07,Varari_Col2_Dil6_Dark,0.5,Varari,37.1,6/17/23,DARK,R,0.24789261231228946,0.27479319202845337,0.05,7.07,2.23,4.4
3,8.07,Varari_Col3_Dil6_Dark,0.5,Varari,37.1,6/17/23,DARK,R,0.2855133596525224,0.3384027881073705,0.05,7.07,2.23,4.4
4,8.08,Varari_Col4_Dil6_Dark,0.5,Varari,36.5,6/18/23,DARK,R,0.3187558733635713,0.3266824366853992,0.02,4.82,2.84,1.24
5,8.09,Varari_Col5_Dil6_Dark,0.5,Varari,36.2,6/21/23,DARK,R,0.2586232974328773,0.2793538311307806,0.05,4.94,0.29,5.38
6,8.09,Varari_Col6_Dil6_Dark,0.5,Varari,36.2,6/21/23,DARK,R,0.256234930498913,0.29493436978012727,0.05,4.94,0.29,5.38
7,8.12,Varari_Col7_Dil6_Dark,0.5,Varari,36.3,6/22/23,DARK,R,0.18943098356980578,0.23224756521451614,0.08,5.11,0.76,2.35
8,8.12,Varari_Col8_Dil6_Dark,0.5,Varari,36.3,6/22/23,DARK,R,0.07519531589030896,0.0866932871766105,0.08,5.11,0.76,2.35
13,8.06,Cabral_Col5_Dil7_Dark,1,Cabral,36.1,6/10/23,DARK,R,0.44537755548765323,0.4541339310783213,0.09,8.39,0.06,0.31
14,8.06,Cabral_Col6_Dil7_Dark,1,Cabral,36.1,6/10/23,DARK,R,0.3386362680069621,0.34636678211756716,0.09,8.39,0.06,0.31
15,8.05,Cabral_Col7_Dil7_Dark,1,Cabral,36.2,6/11/23,DARK,R,0.33852873902225344,0.35581878412157736,0.05,9.41,0.46,10.63
16,8.05,Cabral_Col8_Dil7_Dark,1,Cabral,36.2,6/11/23,DARK,R,0.3417167776169904,0.35519866872680605,0.05,9.41,0.46,10.63
18,8.08,Cabral_Col10_Dil7_Dark,1,Cabral,36.1,6/12/23,DARK,R,0.18628176431785437,0.21616810695661787,0.06,9.83,0.31,0.96
17,8.08,Cabral_Col9_Dil7_Dark,1,Cabral,36.1,6/12/23,DARK,R,0.2040774141026195,0.2657178416116354,0.06,9.83,0.31,0.96
1,8.06,Varari_Col1_Dil7_Dark,1,Varari,37,6/17/23,DARK,R,0.3493207957383515,0.3604535410134228,0.07,10.06,2.58,1.99
2,8.06,Varari_Col2_Dil7_Dark,1,Varari,37,6/17/23,DARK,R,0.28558195344994175,0.32501504610661097,0.07,10.06,2.58,1.99
3,8.06,Varari_Col3_Dil7_Dark,1,Varari,37,6/17/23,DARK,R,0.2897316051908125,0.31342778837232005,0.07,10.06,2.58,1.99
4,8.1,Varari_Col4_Dil7_Dark,1,Varari,36.1,6/18/23,DARK,R,0.4280889476115811,0.4340673447246236,0.04,8.07,1.08,0.48
5,8.09,Varari_Col5_Dil7_Dark,1,Varari,36,6/21/23,DARK,R,0.31065202882342274,0.34139018302645546,0.2,5.55,3.05,15.29
6,8.09,Varari_Col6_Dil7_Dark,1,Varari,36,6/21/23,DARK,R,0.15929309816093537,0.2297729798813826,0.2,5.55,3.05,15.29
7,8.15,Varari_Col7_Dil7_Dark,1,Varari,36,6/22/23,DARK,R,0.2171472054907707,0.25836533669514106,0.08,6.75,0.86,0.98
8,8.15,Varari_Col8_Dil7_Dark,1,Varari,36,6/22/23,DARK,R,Inf,Inf,0.08,6.75,0.86,0.98
13,8.07,Cabral_Col5_Dil8_Dark,2,Cabral,35.9,6/10/23,DARK,R,0.3749274683740264,0.39003673014028784,0.09,15.42,0.24,0.88
14,8.07,Cabral_Col6_Dil8_Dark,2,Cabral,35.9,6/10/23,DARK,R,0.44593890877191583,0.4705678377107501,0.09,15.42,0.24,0.88
15,8.05,Cabral_Col7_Dil8_Dark,2,Cabral,35.9,6/11/23,DARK,R,Inf,Inf,0.06,13.9,0.17,23.37
16,8.05,Cabral_Col8_Dil8_Dark,2,Cabral,35.9,6/11/23,DARK,R,0.439373367601629,0.44887613354495265,0.06,13.9,0.17,23.37
