new_colonynumber,pH,sample_ID,SGD_number,site,salinity,date,light_dark,P_R,umol.cm2.hr,umol.cm2.hr_uncorr,phosphate_umolL,silicate_umolL,NN_umolL,ammonia_umolL,TrisCalDate,SGD_dil,temp_C,new_pH,salinity_insitu,TA,salinity_insitu_initial,sample_ID_initial,SGD_number_initial,TA_initial
13,8.14,Cabral_Col5_Dil1_Light,0,Cabral,36.6,6/10/23,LIGHT,NP,0.3745038105991864,0.3136618814224997,0.05,3.38,0.16,0.52,6/14/23,1,27.11,7.966742367,NA,NA,NA,NA,NA,NA
14,8.14,Cabral_Col6_Dil1_Light,0,Cabral,36.6,6/10/23,LIGHT,NP,0.4719638975366522,0.39648680817551807,0.05,3.38,0.16,0.52,6/14/23,1,27.11,7.966742367,NA,NA,NA,NA,NA,NA
15,8.09,Cabral_Col7_Dil1_Light,0,Cabral,36.5,6/11/23,LIGHT,NP,0.4677849683903315,0.4138195333181064,0.03,4.24,0.54,21.41,6/14/23,1,27.436,8.012209319,NA,NA,NA,NA,NA,NA
16,8.09,Cabral_Col8_Dil1_Light,0,Cabral,36.5,6/11/23,LIGHT,NP,0.4223267081871173,0.3859351802972409,0.03,4.24,0.54,21.41,6/14/23,1,27.436,8.012209319,NA,NA,NA,NA,NA,NA
18,8.06,Cabral_Col10_Dil1_Light,0,Cabral,36.3,6/12/23,LIGHT,NP,0.4680538287639433,0.4415526068673187,0.03,2.58,0.23,0.16,6/14/23,1,28.172,7.976166127,NA,NA,NA,NA,NA,NA
17,8.06,Cabral_Col9_Dil1_Light,0,Cabral,36.3,6/12/23,LIGHT,NP,0.4369254900860945,0.41071140514512594,0.03,2.58,0.23,0.16,6/14/23,1,28.172,7.976166127,NA,NA,NA,NA,NA,NA
1,8.06,Varari_Col1_Dil1_Light,0,Varari,37.3,6/17/23,LIGHT,NP,0.3695817933906963,0.27942996921407837,0.03,4.88,2.52,4.96,6/14/23,1,27.714,7.994816177,NA,NA,NA,NA,NA,NA
2,8.06,Varari_Col2_Dil1_Light,0,Varari,37.3,6/17/23,LIGHT,NP,0.5359267640765599,0.44738763156725225,0.03,4.88,2.52,4.96,6/14/23,1,27.714,7.994816177,NA,NA,NA,NA,NA,NA
3,8.06,Varari_Col3_Dil1_Light,0,Varari,37.3,6/17/23,LIGHT,NP,0.5678873034540387,0.5118379767411307,0.03,4.88,2.52,4.96,6/14/23,1,27.714,7.994816177,NA,NA,NA,NA,NA,NA
4,8.09,Varari_Col4_Dil1_Light,0,Varari,36.4,6/18/23,LIGHT,NP,0.2835269637347547,0.2531739096433075,0.05,3.63,0.99,1.49,6/14/23,1,28.695,8.012340938,NA,NA,NA,NA,NA,NA
6,8.09,Varari_Col6_Dil1_Light,0,Varari,36.4,6/21/23,LIGHT,NP,0.7400282389870363,0.601528804378401,0.1,2.27,0.48,6.9,6/14/23,1,29.092,8.00330754,NA,NA,NA,NA,NA,NA
7,8.08,Varari_Col7_Dil1_Light,0,Varari,36.4,6/22/23,LIGHT,NP,0.5091736507777165,0.4614450073347366,0.03,2.45,0.6,4.44,6/14/23,1,28.503,8.003403586,NA,NA,NA,NA,NA,NA
8,8.08,Varari_Col8_Dil1_Light,0,Varari,36.4,6/22/23,LIGHT,NP,0.4290933869428805,0.3940742515422595,0.03,2.45,0.6,4.44,6/14/23,1,28.503,8.003403586,NA,NA,NA,NA,NA,NA
13,8.05,Cabral_Col5_Dil2_Light,0.01,Cabral,36.5,6/10/23,LIGHT,NP,0.3553606263066536,0.3146226782549535,0.05,3.49,1.04,0.57,6/14/23,2,27.224,7.969949566,NA,NA,NA,NA,NA,NA
14,8.05,Cabral_Col6_Dil2_Light,0.01,Cabral,36.5,6/10/23,LIGHT,NP,0.4832204609429711,0.4527824562862295,0.05,3.49,1.04,0.57,6/14/23,2,27.224,7.969949566,NA,NA,NA,NA,NA,NA
15,8.09,Cabral_Col7_Dil2_Light,0.01,Cabral,36.6,6/11/23,LIGHT,NP,0.3856687163038517,0.3514702588475429,0.03,3.04,1.02,17.21,6/14/23,2,27.345,8.008691364,NA,NA,NA,NA,NA,NA
16,8.09,Cabral_Col8_Dil2_Light,0.01,Cabral,36.6,6/11/23,LIGHT,NP,0.4136128752094841,0.3918394244445147,0.03,3.04,1.02,17.21,6/14/23,2,27.345,8.008691364,NA,NA,NA,NA,NA,NA
18,8.08,Cabral_Col10_Dil2_Light,0.01,Cabral,36.6,6/12/23,LIGHT,NP,0.4629407595705717,0.397618194858603,0.03,2.98,0.07,<0.02,6/14/23,2,27.982,7.991198619,NA,NA,NA,NA,NA,NA
17,8.08,Cabral_Col9_Dil2_Light,0.01,Cabral,36.6,6/12/23,LIGHT,NP,0.5657996700057396,0.4850468960010133,0.03,2.98,0.07,<0.02,6/14/23,2,27.982,7.991198619,NA,NA,NA,NA,NA,NA
1,8.09,Varari_Col1_Dil2_Light,0.01,Varari,37.4,6/17/23,LIGHT,NP,0.45151526963611366,0.40545351616791014,0.06,4.51,4.67,4.07,6/14/23,2,27.764,8.021108644,NA,NA,NA,NA,NA,NA
2,8.09,Varari_Col2_Dil2_Light,0.01,Varari,37.4,6/17/23,LIGHT,NP,0.47815683218934846,0.4268182993129015,0.06,4.51,4.67,4.07,6/14/23,2,27.764,8.021108644,NA,NA,NA,NA,NA,NA
3,8.09,Varari_Col3_Dil2_Light,0.01,Varari,37.4,6/17/23,LIGHT,NP,0.4731329832403995,0.4481419938208414,0.06,4.51,4.67,4.07,6/14/23,2,27.764,8.021108644,NA,NA,NA,NA,NA,NA
4,8.01,Varari_Col4_Dil2_Light,0.01,Varari,36.7,6/18/23,LIGHT,NP,0.288550064096281,0.2739386545839155,0.07,3.65,3.26,3.59,6/14/23,2,28.644,7.926842749,NA,NA,NA,NA,NA,NA
5,8.11,Varari_Col5_Dil2_Light,0.01,Varari,36.4,6/21/23,LIGHT,NP,0.31221954266549284,0.23921734796490457,0.04,1.78,0.52,1.77,6/14/23,2,29.187,8.025282823,NA,NA,NA,NA,NA,NA
6,8.11,Varari_Col6_Dil2_Light,0.01,Varari,36.4,6/21/23,LIGHT,NP,0.7052351937041381,0.6184888250845412,0.04,1.78,0.52,1.77,6/14/23,2,29.187,8.025282823,NA,NA,NA,NA,NA,NA
7,8.05,Varari_Col7_Dil2_Light,0.01,Varari,36.4,6/22/23,LIGHT,NP,0.5179364896284577,0.47362465428751666,0.06,2.55,0.72,1.64,6/14/23,2,27.7,7.981415001,NA,NA,NA,NA,NA,NA
8,8.05,Varari_Col8_Dil2_Light,0.01,Varari,36.4,6/22/23,LIGHT,NP,0.4172079194419686,0.37825956102078817,0.06,2.55,0.72,1.64,6/14/23,2,27.7,7.981415001,NA,NA,NA,NA,NA,NA
13,8.07,Cabral_Col5_Dil3_Light,0.03,Cabral,36.6,6/10/23,LIGHT,NP,0.34787668267882577,0.3266307471706389,0.04,4.11,0.28,0.7,6/14/23,3,26.984,7.998755982,NA,NA,NA,NA,NA,NA
14,8.07,Cabral_Col6_Dil3_Light,0.03,Cabral,36.6,6/10/23,LIGHT,NP,0.38707246254734967,0.3731873144269764,0.04,4.11,0.28,0.7,6/14/23,3,26.984,7.998755982,NA,NA,NA,NA,NA,NA
15,8.08,Cabral_Col7_Dil3_Light,0.03,Cabral,36.5,6/11/23,LIGHT,NP,0.40026442936179624,0.3772592791116982,0.04,5.16,1.78,2.98,6/14/23,3,27.68,8.000333893,NA,NA,NA,NA,NA,NA
16,8.08,Cabral_Col8_Dil3_Light,0.03,Cabral,36.5,6/11/23,LIGHT,NP,0.28290733416342867,0.26444950822349195,0.04,5.16,1.78,2.98,6/14/23,3,27.68,8.000333893,NA,NA,NA,NA,NA,NA
18,8.05,Cabral_Col10_Dil3_Light,0.03,Cabral,36.4,6/12/23,LIGHT,NP,0.2786782708616909,0.2493780651163409,0.07,3.15,0.8,6.67,6/14/23,3,28.395,7.963168175,NA,NA,NA,NA,NA,NA
17,8.05,Cabral_Col9_Dil3_Light,0.03,Cabral,36.4,6/12/23,LIGHT,NP,0.6388193761023545,0.5954924138675628,0.07,3.15,0.8,6.67,6/14/23,3,28.395,7.963168175,NA,NA,NA,NA,NA,NA
1,8.07,Varari_Col1_Dil3_Light,0.03,Varari,37.4,6/17/23,LIGHT,NP,0.2608255307266537,0.2355344814518165,0.07,4.53,3.03,4.95,6/14/23,3,27.81,8.002025445,NA,NA,NA,NA,NA,NA
2,8.07,Varari_Col2_Dil3_Light,0.03,Varari,37.4,6/17/23,LIGHT,NP,0.397421244553725,0.35327191662453505,0.07,4.53,3.03,4.95,6/14/23,3,27.81,8.002025445,NA,NA,NA,NA,NA,NA
3,8.07,Varari_Col3_Dil3_Light,0.03,Varari,37.4,6/17/23,LIGHT,NP,0.2646858497221476,0.22405260574387867,0.07,4.53,3.03,4.95,6/14/23,3,27.81,8.002025445,NA,NA,NA,NA,NA,NA
4,8.06,Varari_Col4_Dil3_Light,0.03,Varari,36.7,6/18/23,LIGHT,NP,0.12664821571651988,0.11680471361090372,0.03,3.14,2.63,0.52,6/14/23,3,28.724,7.974131193,NA,NA,NA,NA,NA,NA
5,8.12,Varari_Col5_Dil3_Light,0.03,Varari,36.3,6/21/23,LIGHT,NP,0.3315103344039255,0.29902751421505824,0.04,1.93,1.79,7.35,6/14/23,3,29.115,8.032791308,NA,NA,NA,NA,NA,NA
6,8.12,Varari_Col6_Dil3_Light,0.03,Varari,36.3,6/21/23,LIGHT,NP,0.49972425112959035,0.46598517699774694,0.04,1.93,1.79,7.35,6/14/23,3,29.115,8.032791308,NA,NA,NA,NA,NA,NA
7,8.1,Varari_Col7_Dil3_Light,0.03,Varari,36.4,6/22/23,LIGHT,NP,0.3112568607635486,0.2877897834562339,0.11,2.39,0.83,1.67,6/14/23,3,28.492,8.023610541,NA,NA,NA,NA,NA,NA
8,8.1,Varari_Col8_Dil3_Light,0.03,Varari,36.4,6/22/23,LIGHT,NP,0.3359869563498972,0.3193504993995217,0.11,2.39,0.83,1.67,6/14/23,3,28.492,8.023610541,NA,NA,NA,NA,NA,NA
13,8.06,Cabral_Col5_Dil4_Light,0.05,Cabral,36.5,6/10/23,LIGHT,NP,0.3435219797465797,0.32559350556955535,0.05,3.13,3.25,0.76,6/14/23,4,27.108,7.985024902,NA,NA,NA,NA,NA,NA
14,8.06,Cabral_Col6_Dil4_Light,0.05,Cabral,36.5,6/10/23,LIGHT,NP,0.4722832331559537,0.4439481222452819,0.05,3.13,3.25,0.76,6/14/23,4,27.108,7.985024902,NA,NA,NA,NA,NA,NA
15,8.06,Cabral_Col7_Dil4_Light,0.05,Cabral,36.5,6/11/23,LIGHT,NP,0.3289581921263592,0.30596673878145003,0.03,3.79,0.14,0.86,6/14/23,4,27.788,7.977017858,NA,NA,NA,NA,NA,NA
16,8.06,Cabral_Col8_Dil4_Light,0.05,Cabral,36.5,6/11/23,LIGHT,NP,0.45281368560213753,0.4367408526843369,0.03,3.79,0.14,0.86,6/14/23,4,27.788,7.977017858,NA,NA,NA,NA,NA,NA
18,8.09,Cabral_Col10_Dil4_Light,0.05,Cabral,36.6,6/12/23,LIGHT,NP,0.3803271160766388,0.3439905894141078,0.04,4.14,0.86,2.16,6/14/23,4,28.219,8.002864299,NA,NA,NA,NA,NA,NA
17,8.09,Cabral_Col9_Dil4_Light,0.05,Cabral,36.6,6/12/23,LIGHT,NP,0.6807445090637716,0.6121583681177822,0.04,4.14,0.86,2.16,6/14/23,4,28.219,8.002864299,NA,NA,NA,NA,NA,NA
1,8.06,Varari_Col1_Dil4_Light,0.05,Varari,37.3,6/17/23,LIGHT,NP,0.4775372466197446,0.45104662467103046,0.08,4.82,1.87,3.32,6/14/23,4,27.795,7.98863231,NA,NA,NA,NA,NA,NA
2,8.06,Varari_Col2_Dil4_Light,0.05,Varari,37.3,6/17/23,LIGHT,NP,0.690244194496623,0.6597191012086708,0.08,4.82,1.87,3.32,6/14/23,4,27.795,7.98863231,NA,NA,NA,NA,NA,NA
3,8.06,Varari_Col3_Dil4_Light,0.05,Varari,37.3,6/17/23,LIGHT,NP,0.3567552317457728,0.331427542629758,0.08,4.82,1.87,3.32,6/14/23,4,27.795,7.98863231,NA,NA,NA,NA,NA,NA
4,8.06,Varari_Col4_Dil4_Light,0.05,Varari,36.5,6/18/23,LIGHT,NP,Inf,Inf,0.06,2.89,1.63,0.79,6/14/23,4,28.809,7.977524233,NA,NA,NA,NA,NA,NA
5,8.11,Varari_Col5_Dil4_Light,0.05,Varari,36.3,6/21/23,LIGHT,NP,0.46909969416920394,0.3865724277534723,0.04,1.86,0.28,0.22,6/14/23,4,29.11,8.024526644,NA,NA,NA,NA,NA,NA
6,8.11,Varari_Col6_Dil4_Light,0.05,Varari,36.3,6/21/23,LIGHT,NP,0.9946501620279422,0.8914987135435447,0.04,1.86,0.28,0.22,6/14/23,4,29.11,8.024526644,NA,NA,NA,NA,NA,NA
7,8.1,Varari_Col7_Dil4_Light,0.05,Varari,36.4,6/22/23,LIGHT,NP,0.5190378575259456,0.4784141511981067,0.06,2.24,0.47,2.25,6/14/23,4,27.717,8.029750313,NA,NA,NA,NA,NA,NA
8,8.1,Varari_Col8_Dil4_Light,0.05,Varari,36.4,6/22/23,LIGHT,NP,0.46272096998545614,0.4223943570002675,0.06,2.24,0.47,2.25,6/14/23,4,27.717,8.029750313,NA,NA,NA,NA,NA,NA
13,8.07,Cabral_Col5_Dil5_Light,0.1,Cabral,36.5,6/10/23,LIGHT,NP,0.4229616176638163,0.4025604985343304,0.06,5.23,0.17,0.43,6/14/23,5,27.058,7.995809965,NA,NA,NA,NA,NA,NA
14,8.07,Cabral_Col6_Dil5_Light,0.1,Cabral,36.5,6/10/23,LIGHT,NP,0.47576322471676474,0.4646031641860723,0.06,5.23,0.17,0.43,6/14/23,5,27.058,7.995809965,NA,NA,NA,NA,NA,NA
15,8.06,Cabral_Col7_Dil5_Light,0.1,Cabral,36.5,6/11/23,LIGHT,NP,0.45728418617426886,0.4413718514454813,0.03,4.33,0.45,0.95,6/14/23,5,27.779,7.973796473,NA,NA,NA,NA,NA,NA
16,8.06,Cabral_Col8_Dil5_Light,0.1,Cabral,36.5,6/11/23,LIGHT,NP,0.3684566755562728,0.3497394535319174,0.03,4.33,0.45,0.95,6/14/23,5,27.779,7.973796473,NA,NA,NA,NA,NA,NA
18,8.1,Cabral_Col10_Dil5_Light,0.1,Cabral,36.4,6/12/23,LIGHT,NP,0.5233348440788429,0.49081073145572646,0.04,3.67,0.51,12.78,6/14/23,5,28.251,8.007015023,NA,NA,NA,NA,NA,NA
17,8.1,Cabral_Col9_Dil5_Light,0.1,Cabral,36.4,6/12/23,LIGHT,NP,0.4726463657632525,0.44402021259217817,0.04,3.67,0.51,12.78,6/14/23,5,28.251,8.007015023,NA,NA,NA,NA,NA,NA
1,8.07,Varari_Col1_Dil5_Light,0.1,Varari,37.3,6/17/23,LIGHT,NP,0.43843824851530055,0.4103902775439838,0.05,5.27,2.5,6.31,6/14/23,5,27.816,7.996704636,NA,NA,NA,NA,NA,NA
2,8.07,Varari_Col2_Dil5_Light,0.1,Varari,37.3,6/17/23,LIGHT,NP,0.6983529189988639,0.653671745928574,0.05,5.27,2.5,6.31,6/14/23,5,27.816,7.996704636,NA,NA,NA,NA,NA,NA
3,8.07,Varari_Col3_Dil5_Light,0.1,Varari,37.3,6/17/23,LIGHT,NP,0.5508072043259767,0.5269527654909973,0.05,5.27,2.5,6.31,6/14/23,5,27.816,7.996704636,NA,NA,NA,NA,NA,NA
4,8.07,Varari_Col4_Dil5_Light,0.1,Varari,36.6,6/18/23,LIGHT,NP,0.22615847650653303,0.2119155212184484,0.03,3.33,3.14,4.89,6/14/23,5,28.728,7.983888717,NA,NA,NA,NA,NA,NA
5,8.12,Varari_Col5_Dil5_Light,0.1,Varari,36.3,6/21/23,LIGHT,NP,0.2561754065494553,0.20001968848118143,0.27,2.63,1.32,9.69,6/14/23,5,29.156,8.028865456,NA,NA,NA,NA,NA,NA
6,8.12,Varari_Col6_Dil5_Light,0.1,Varari,36.3,6/21/23,LIGHT,NP,0.6257878543582729,0.5871094233211386,0.27,2.63,1.32,9.69,6/14/23,5,29.156,8.028865456,NA,NA,NA,NA,NA,NA
7,8.11,Varari_Col7_Dil5_Light,0.1,Varari,36.5,6/22/23,LIGHT,NP,0.4476500559401644,0.4210110327024878,0.05,2.68,0.7,3.11,6/14/23,5,27.629,8.036250694,NA,NA,NA,NA,NA,NA
8,8.11,Varari_Col8_Dil5_Light,0.1,Varari,36.5,6/22/23,LIGHT,NP,0.3185269383923768,0.29446431305338017,0.05,2.68,0.7,3.11,6/14/23,5,27.629,8.036250694,NA,NA,NA,NA,NA,NA
13,8.07,Cabral_Col5_Dil6_Light,0.5,Cabral,36.4,6/10/23,LIGHT,NP,0.3977738223319793,0.3711187958486132,0.13,6.59,0.4,2,6/14/23,6,27.294,7.992232149,NA,NA,NA,NA,NA,NA
14,8.07,Cabral_Col6_Dil6_Light,0.5,Cabral,36.4,6/10/23,LIGHT,NP,0.27357768470147303,0.2635384663371922,0.13,6.59,0.4,2,6/14/23,6,27.294,7.992232149,NA,NA,NA,NA,NA,NA
15,8.09,Cabral_Col7_Dil6_Light,0.5,Cabral,36.3,6/11/23,LIGHT,NP,0.26544242020509273,0.24566880248513903,0.04,6.59,0.6,8.48,6/14/23,6,27.685,8.009902878,NA,NA,NA,NA,NA,NA
16,8.09,Cabral_Col8_Dil6_Light,0.5,Cabral,36.3,6/11/23,LIGHT,NP,0.2817879216606953,0.2635478328905498,0.04,6.59,0.6,8.48,6/14/23,6,27.685,8.009902878,NA,NA,NA,NA,NA,NA
18,8.07,Cabral_Col10_Dil6_Light,0.5,Cabral,36.3,6/12/23,LIGHT,NP,0.3187415139237002,0.30518909653208187,0.04,6.04,0.37,2.01,6/14/23,6,28.313,7.977503903,NA,NA,NA,NA,NA,NA
17,8.07,Cabral_Col9_Dil6_Light,0.5,Cabral,36.3,6/12/23,LIGHT,NP,0.4074704416790543,0.39247503062180367,0.04,6.04,0.37,2.01,6/14/23,6,28.313,7.977503903,NA,NA,NA,NA,NA,NA
1,8.07,Varari_Col1_Dil6_Light,0.5,Varari,37.1,6/17/23,LIGHT,NP,0.2950276799066215,0.26368236224311614,0.05,7.07,2.23,4.4,6/14/23,6,27.818,7.996255731,NA,NA,NA,NA,NA,NA
2,8.07,Varari_Col2_Dil6_Light,0.5,Varari,37.1,6/17/23,LIGHT,NP,0.4297989747031459,0.40633441885986565,0.05,7.07,2.23,4.4,6/14/23,6,27.818,7.996255731,NA,NA,NA,NA,NA,NA
3,8.07,Varari_Col3_Dil6_Light,0.5,Varari,37.1,6/17/23,LIGHT,NP,0.5068784201373742,0.46074458359584225,0.05,7.07,2.23,4.4,6/14/23,6,27.818,7.996255731,NA,NA,NA,NA,NA,NA
4,8.08,Varari_Col4_Dil6_Light,0.5,Varari,36.5,6/18/23,LIGHT,NP,0.2341753051144144,0.22489490406789395,0.02,4.82,2.84,1.24,6/14/23,6,28.782,7.994600756,NA,NA,NA,NA,NA,NA
5,8.09,Varari_Col5_Dil6_Light,0.5,Varari,36.2,6/21/23,LIGHT,NP,0.27233213586700006,0.2504376324150797,0.05,4.94,0.29,5.38,6/14/23,6,29.155,8.007009687,NA,NA,NA,NA,NA,NA
6,8.09,Varari_Col6_Dil6_Light,0.5,Varari,36.2,6/21/23,LIGHT,NP,0.5211711300778618,0.4802988100846904,0.05,4.94,0.29,5.38,6/14/23,6,29.155,8.007009687,NA,NA,NA,NA,NA,NA
7,8.12,Varari_Col7_Dil6_Light,0.5,Varari,36.3,6/22/23,LIGHT,NP,0.38298071159946434,0.3396241153880072,0.08,5.11,0.76,2.35,6/14/23,6,27.767,8.052272678,NA,NA,NA,NA,NA,NA
8,8.12,Varari_Col8_Dil6_Light,0.5,Varari,36.3,6/22/23,LIGHT,NP,0.10585039215502272,0.09420740527559976,0.08,5.11,0.76,2.35,6/14/23,6,27.767,8.052272678,NA,NA,NA,NA,NA,NA
13,8.06,Cabral_Col5_Dil7_Light,1,Cabral,36.1,6/10/23,LIGHT,NP,0.35350590883172966,0.33949350630661224,0.09,8.39,0.06,0.31,6/14/23,7,27.269,7.983581663,NA,NA,NA,NA,NA,NA
14,8.06,Cabral_Col6_Dil7_Light,1,Cabral,36.1,6/10/23,LIGHT,NP,0.35724517421801727,0.34487440798919755,0.09,8.39,0.06,0.31,6/14/23,7,27.269,7.983581663,NA,NA,NA,NA,NA,NA
15,8.05,Cabral_Col7_Dil7_Light,1,Cabral,36.2,6/11/23,LIGHT,NP,0.5491057578546766,0.5320764049525086,0.05,9.41,0.46,10.63,6/14/23,7,27.602,7.963967371,NA,NA,NA,NA,NA,NA
16,8.05,Cabral_Col8_Dil7_Light,1,Cabral,36.2,6/11/23,LIGHT,NP,0.35265689712324494,0.3393782804291435,0.05,9.41,0.46,10.63,6/14/23,7,27.602,7.963967371,NA,NA,NA,NA,NA,NA
18,8.08,Cabral_Col10_Dil7_Light,1,Cabral,36.1,6/12/23,LIGHT,NP,0.3150401602841942,0.28722619613453676,0.06,9.83,0.31,0.96,6/14/23,7,28.899,7.982119028,NA,NA,NA,NA,NA,NA
17,8.08,Cabral_Col9_Dil7_Light,1,Cabral,36.1,6/12/23,LIGHT,NP,0.4057342979118644,0.34836814034524355,0.06,9.83,0.31,0.96,6/14/23,7,28.899,7.982119028,NA,NA,NA,NA,NA,NA
1,8.06,Varari_Col1_Dil7_Light,1,Varari,37,6/17/23,LIGHT,NP,0.4176926441629063,0.4017719510808909,0.07,10.06,2.58,1.99,6/14/23,7,27.829,7.987516818,NA,NA,NA,NA,NA,NA
2,8.06,Varari_Col2_Dil7_Light,1,Varari,37,6/17/23,LIGHT,NP,0.6171915788349578,0.560799184151564,0.07,10.06,2.58,1.99,6/14/23,7,27.829,7.987516818,NA,NA,NA,NA,NA,NA
3,8.06,Varari_Col3_Dil7_Light,1,Varari,37,6/17/23,LIGHT,NP,0.338971419467032,0.30508403137662404,0.07,10.06,2.58,1.99,6/14/23,7,27.829,7.987516818,NA,NA,NA,NA,NA,NA
4,8.1,Varari_Col4_Dil7_Light,1,Varari,36.1,6/18/23,LIGHT,NP,0.3033783785052028,0.2888428013209431,0.04,8.07,1.08,0.48,6/14/23,7,28.788,8.015414786,NA,NA,NA,NA,NA,NA
