TrisCalDate,sample_ID,SGD_dil,SGD_number,temp_C,new_pH
6/14/23,Cabral_Col5_Dil1_Light,1,0,27.11,7.966742367
6/14/23,Cabral_Col5_Dil2_Light,2,0.01,27.224,7.969949566
6/14/23,Cabral_Col5_Dil3_Light,3,0.03,26.984,7.998755982
6/14/23,Cabral_Col5_Dil4_Light,4,0.05,27.108,7.985024902
6/14/23,Cabral_Col5_Dil5_Light,5,0.1,27.058,7.995809965
6/14/23,Cabral_Col5_Dil6_Light,6,0.5,27.294,7.992232149
6/14/23,Cabral_Col5_Dil7_Light,7,1,27.269,7.983581663
6/14/23,Cabral_Col5_Dil8_Light,8,2,26.909,7.998371579
6/14/23,Cabral_Col5_Dil9_Light,9,4,27.163,7.99836625
6/14/23,Cabral_Col5_Dil1_Dark,1,0,27.11,7.966742367
6/14/23,Cabral_Col5_Dil2_Dark,2,0.01,27.224,7.969949566
6/14/23,Cabral_Col5_Dil3_Dark,3,0.03,26.984,7.998755982
6/14/23,Cabral_Col5_Dil4_Dark,4,0.05,27.108,7.985024902
6/14/23,Cabral_Col5_Dil5_Dark,5,0.1,27.058,7.995809965
6/14/23,Cabral_Col5_Dil6_Dark,6,0.5,27.294,7.992232149
6/14/23,Cabral_Col5_Dil7_Dark,7,1,27.269,7.983581663
6/14/23,Cabral_Col5_Dil8_Dark,8,2,26.909,7.998371579
6/14/23,Cabral_Col5_Dil9_Dark,9,4,27.163,7.99836625
6/14/23,Cabral_Col6_Dil1_Light,1,0,27.11,7.966742367
6/14/23,Cabral_Col6_Dil2_Light,2,0.01,27.224,7.969949566
6/14/23,Cabral_Col6_Dil3_Light,3,0.03,26.984,7.998755982
6/14/23,Cabral_Col6_Dil4_Light,4,0.05,27.108,7.985024902
6/14/23,Cabral_Col6_Dil5_Light,5,0.1,27.058,7.995809965
6/14/23,Cabral_Col6_Dil6_Light,6,0.5,27.294,7.992232149
6/14/23,Cabral_Col6_Dil7_Light,7,1,27.269,7.983581663
6/14/23,Cabral_Col6_Dil8_Light,8,2,26.909,7.998371579
6/14/23,Cabral_Col6_Dil9_Light,9,4,27.163,7.99836625
6/14/23,Cabral_Col6_Dil1_Dark,1,0,27.11,7.966742367
6/14/23,Cabral_Col6_Dil2_Dark,2,0.01,27.224,7.969949566
6/14/23,Cabral_Col6_Dil3_Dark,3,0.03,26.984,7.998755982
6/14/23,Cabral_Col6_Dil4_Dark,4,0.05,27.108,7.985024902
6/14/23,Cabral_Col6_Dil5_Dark,5,0.1,27.058,7.995809965
6/14/23,Cabral_Col6_Dil6_Dark,6,0.5,27.294,7.992232149
6/14/23,Cabral_Col6_Dil7_Dark,7,1,27.269,7.983581663
6/14/23,Cabral_Col6_Dil8_Dark,8,2,26.909,7.998371579
6/14/23,Cabral_Col6_Dil9_Dark,9,4,27.163,7.99836625
6/14/23,Cabral_Col7_Dil1_Light,1,0,27.436,8.012209319
6/14/23,Cabral_Col7_Dil2_Light,2,0.01,27.345,8.008691364
6/14/23,Cabral_Col7_Dil3_Light,3,0.03,27.68,8.000333893
6/14/23,Cabral_Col7_Dil4_Light,4,0.05,27.788,7.977017858
6/14/23,Cabral_Col7_Dil5_Light,5,0.1,27.779,7.973796473
6/14/23,Cabral_Col7_Dil6_Light,6,0.5,27.685,8.009902878
6/14/23,Cabral_Col7_Dil7_Light,7,1,27.602,7.963967371
6/14/23,Cabral_Col7_Dil8_Light,8,2,27.452,7.965480921
6/14/23,Cabral_Col7_Dil9_Light,9,4,27.734,7.995066862
6/14/23,Cabral_Col7_Dil1_Dark,1,0,27.436,8.012209319
6/14/23,Cabral_Col7_Dil2_Dark,2,0.01,27.345,8.008691364
6/14/23,Cabral_Col7_Dil3_Dark,3,0.03,27.68,8.000333893
6/14/23,Cabral_Col7_Dil4_Dark,4,0.05,27.788,7.977017858
6/14/23,Cabral_Col7_Dil5_Dark,5,0.1,27.779,7.973796473
6/14/23,Cabral_Col7_Dil6_Dark,6,0.5,27.685,8.009902878
6/14/23,Cabral_Col7_Dil7_Dark,7,1,27.602,7.963967371
6/14/23,Cabral_Col7_Dil8_Dark,8,2,27.452,7.965480921
6/14/23,Cabral_Col7_Dil9_Dark,9,4,27.734,7.995066862
6/14/23,Cabral_Col8_Dil1_Light,1,0,27.436,8.012209319
6/14/23,Cabral_Col8_Dil2_Light,2,0.01,27.345,8.008691364
6/14/23,Cabral_Col8_Dil3_Light,3,0.03,27.68,8.000333893
6/14/23,Cabral_Col8_Dil4_Light,4,0.05,27.788,7.977017858
6/14/23,Cabral_Col8_Dil5_Light,5,0.1,27.779,7.973796473
6/14/23,Cabral_Col8_Dil6_Light,6,0.5,27.685,8.009902878
6/14/23,Cabral_Col8_Dil7_Light,7,1,27.602,7.963967371
6/14/23,Cabral_Col8_Dil8_Light,8,2,27.452,7.965480921
6/14/23,Cabral_Col8_Dil9_Light,9,4,27.734,7.995066862
6/14/23,Cabral_Col8_Dil1_Dark,1,0,27.436,8.012209319
6/14/23,Cabral_Col8_Dil2_Dark,2,0.01,27.345,8.008691364
6/14/23,Cabral_Col8_Dil3_Dark,3,0.03,27.68,8.000333893
6/14/23,Cabral_Col8_Dil4_Dark,4,0.05,27.788,7.977017858
6/14/23,Cabral_Col8_Dil5_Dark,5,0.1,27.779,7.973796473
6/14/23,Cabral_Col8_Dil6_Dark,6,0.5,27.685,8.009902878
6/14/23,Cabral_Col8_Dil7_Dark,7,1,27.602,7.963967371
6/14/23,Cabral_Col8_Dil8_Dark,8,2,27.452,7.965480921
6/14/23,Cabral_Col8_Dil9_Dark,9,4,27.734,7.995066862
6/14/23,Cabral_Col9_Dil1_Light,1,0,28.172,7.976166127
6/14/23,Cabral_Col9_Dil2_Light,2,0.01,27.982,7.991198619
6/14/23,Cabral_Col9_Dil3_Light,3,0.03,28.395,7.963168175
6/14/23,Cabral_Col9_Dil4_Light,4,0.05,28.219,8.002864299
6/14/23,Cabral_Col9_Dil5_Light,5,0.1,28.251,8.007015023
6/14/23,Cabral_Col9_Dil6_Light,6,0.5,28.313,7.977503903
6/14/23,Cabral_Col9_Dil7_Light,7,1,28.899,7.982119028
6/14/23,Cabral_Col9_Dil8_Light,8,2,28.199,7.991501772
6/14/23,Cabral_Col9_Dil9_Light,9,4,28.389,8.004134508
6/14/23,Cabral_Col9_Dil1_Dark,1,0,28.172,7.976166127
6/14/23,Cabral_Col9_Dil2_Dark,2,0.01,27.982,7.991198619
6/14/23,Cabral_Col9_Dil3_Dark,3,0.03,28.395,7.963168175
6/14/23,Cabral_Col9_Dil4_Dark,4,0.05,28.219,8.002864299
6/14/23,Cabral_Col9_Dil5_Dark,5,0.1,28.251,8.007015023
6/14/23,Cabral_Col9_Dil6_Dark,6,0.5,28.313,7.977503903
6/14/23,Cabral_Col9_Dil7_Dark,7,1,28.899,7.982119028
6/14/23,Cabral_Col9_Dil8_Dark,8,2,28.199,7.991501772
6/14/23,Cabral_Col9_Dil9_Dark,9,4,28.389,8.004134508
6/14/23,Cabral_Col10_Dil1_Light,1,0,28.172,7.976166127
6/14/23,Cabral_Col10_Dil2_Light,2,0.01,27.982,7.991198619
6/14/23,Cabral_Col10_Dil3_Light,3,0.03,28.395,7.963168175
6/14/23,Cabral_Col10_Dil4_Light,4,0.05,28.219,8.002864299
6/14/23,Cabral_Col10_Dil5_Light,5,0.1,28.251,8.007015023
6/14/23,Cabral_Col10_Dil6_Light,6,0.5,28.313,7.977503903
6/14/23,Cabral_Col10_Dil7_Light,7,1,28.899,7.982119028
6/14/23,Cabral_Col10_Dil8_Light,8,2,28.199,7.991501772
6/14/23,Cabral_Col10_Dil9_Light,9,4,28.389,8.004134508
6/14/23,Cabral_Col10_Dil1_Dark,1,0,28.172,7.976166127
6/14/23,Cabral_Col10_Dil2_Dark,2,0.01,27.982,7.991198619
6/14/23,Cabral_Col10_Dil3_Dark,3,0.03,28.395,7.963168175
6/14/23,Cabral_Col10_Dil4_Dark,4,0.05,28.219,8.002864299
6/14/23,Cabral_Col10_Dil5_Dark,5,0.1,28.251,8.007015023
6/14/23,Cabral_Col10_Dil6_Dark,6,0.5,28.313,7.977503903
6/14/23,Cabral_Col10_Dil7_Dark,7,1,28.899,7.982119028
6/14/23,Cabral_Col10_Dil8_Dark,8,2,28.199,7.991501772
6/14/23,Cabral_Col10_Dil9_Dark,9,4,28.389,8.004134508
6/14/23,Cabral_Col11_Dil1_Light,1,0,30.465,7.978374414
6/14/23,Cabral_Col11_Dil2_Light,2,0.01,30.4,7.989464094
6/14/23,Cabral_Col11_Dil3_Light,3,0.03,30.339,7.998444337
6/14/23,Cabral_Col11_Dil4_Light,4,0.05,30.291,8.014082135
6/14/23,Cabral_Col11_Dil5_Light,5,0.1,30.269,7.969552607
6/14/23,Cabral_Col11_Dil6_Light,6,0.5,30.273,8.010428529
6/14/23,Cabral_Col11_Dil7_Light,7,1,29.582,7.990220017
6/14/23,Cabral_Col11_Dil8_Light,8,2,30.059,7.984471029
6/14/23,Cabral_Col11_Dil9_Light,9,4,30.442,7.969555313
6/14/23,Cabral_Col11_Dil1_Dark,1,0,30.465,7.978374414
6/14/23,Cabral_Col11_Dil2_Dark,2,0.01,30.4,7.989464094
6/14/23,Cabral_Col11_Dil3_Dark,3,0.03,30.339,7.998444337
6/14/23,Cabral_Col11_Dil4_Dark,4,0.05,30.291,8.014082135
6/14/23,Cabral_Col11_Dil5_Dark,5,0.1,30.269,7.969552607
6/14/23,Cabral_Col11_Dil6_Dark,6,0.5,30.273,8.010428529
6/14/23,Cabral_Col11_Dil7_Dark,7,1,29.582,7.990220017
6/14/23,Cabral_Col11_Dil8_Dark,8,2,30.059,7.984471029
6/14/23,Cabral_Col11_Dil9_Dark,9,4,30.442,7.969555313
6/14/23,Cabral_Col12_Dil1_Light,1,0,30.465,7.978374414
6/14/23,Cabral_Col12_Dil2_Light,2,0.01,30.4,7.989464094
6/14/23,Cabral_Col12_Dil3_Light,3,0.03,30.339,7.998444337
6/14/23,Cabral_Col12_Dil4_Light,4,0.05,30.291,8.014082135
6/14/23,Cabral_Col12_Dil5_Light,5,0.1,30.269,7.969552607
6/14/23,Cabral_Col12_Dil6_Light,6,0.5,30.273,8.010428529
6/14/23,Cabral_Col12_Dil7_Light,7,1,29.582,7.990220017
6/14/23,Cabral_Col12_Dil8_Light,8,2,30.059,7.984471029
6/14/23,Cabral_Col12_Dil9_Light,9,4,30.442,7.969555313
6/14/23,Cabral_Col12_Dil1_Dark,1,0,30.465,7.978374414
6/14/23,Cabral_Col12_Dil2_Dark,2,0.01,30.4,7.989464094
6/14/23,Cabral_Col12_Dil3_Dark,3,0.03,30.339,7.998444337
6/14/23,Cabral_Col12_Dil4_Dark,4,0.05,30.291,8.014082135
6/14/23,Cabral_Col12_Dil5_Dark,5,0.1,30.269,7.969552607
6/14/23,Cabral_Col12_Dil6_Dark,6,0.5,30.273,8.010428529
6/14/23,Cabral_Col12_Dil7_Dark,7,1,29.582,7.990220017
6/14/23,Cabral_Col12_Dil8_Dark,8,2,30.059,7.984471029
6/14/23,Cabral_Col12_Dil9_Dark,9,4,30.442,7.969555313
6/14/23,Varari_Col1_Dil1_Light,1,0,27.714,7.994816177
6/14/23,Varari_Col1_Dil2_Light,2,0.01,27.764,8.021108644
6/14/23,Varari_Col1_Dil3_Light,3,0.03,27.81,8.002025445
6/14/23,Varari_Col1_Dil4_Light,4,0.05,27.795,7.98863231
6/14/23,Varari_Col1_Dil5_Light,5,0.1,27.816,7.996704636
6/14/23,Varari_Col1_Dil6_Light,6,0.5,27.818,7.996255731
6/14/23,Varari_Col1_Dil7_Light,7,1,27.829,7.987516818
6/14/23,Varari_Col1_Dil8_Light,8,2,27.793,7.9938993
6/14/23,Varari_Col1_Dil9_Light,9,4,27.887,7.959322072
6/14/23,Varari_Col1_Dil1_Dark,1,0,27.714,7.994816177
6/14/23,Varari_Col1_Dil2_Dark,2,0.01,27.764,8.021108644
6/14/23,Varari_Col1_Dil3_Dark,3,0.03,27.81,8.002025445
6/14/23,Varari_Col1_Dil4_Dark,4,0.05,27.795,7.98863231
6/14/23,Varari_Col1_Dil5_Dark,5,0.1,27.816,7.996704636
6/14/23,Varari_Col1_Dil6_Dark,6,0.5,27.818,7.996255731
6/14/23,Varari_Col1_Dil7_Dark,7,1,27.829,7.987516818
6/14/23,Varari_Col1_Dil8_Dark,8,2,27.793,7.9938993
6/14/23,Varari_Col1_Dil9_Dark,9,4,27.887,7.959322072
6/14/23,Varari_Col2_Dil1_Light,1,0,27.714,7.994816177
6/14/23,Varari_Col2_Dil2_Light,2,0.01,27.764,8.021108644
6/14/23,Varari_Col2_Dil3_Light,3,0.03,27.81,8.002025445
6/14/23,Varari_Col2_Dil4_Light,4,0.05,27.795,7.98863231
6/14/23,Varari_Col2_Dil5_Light,5,0.1,27.816,7.996704636
6/14/23,Varari_Col2_Dil6_Light,6,0.5,27.818,7.996255731
6/14/23,Varari_Col2_Dil7_Light,7,1,27.829,7.987516818
6/14/23,Varari_Col2_Dil8_Light,8,2,27.793,7.9938993
6/14/23,Varari_Col2_Dil9_Light,9,4,27.887,7.959322072
6/14/23,Varari_Col2_Dil1_Dark,1,0,27.714,7.994816177
6/14/23,Varari_Col2_Dil2_Dark,2,0.01,27.764,8.021108644
6/14/23,Varari_Col2_Dil3_Dark,3,0.03,27.81,8.002025445
6/14/23,Varari_Col2_Dil4_Dark,4,0.05,27.795,7.98863231
6/14/23,Varari_Col2_Dil5_Dark,5,0.1,27.816,7.996704636
6/14/23,Varari_Col2_Dil6_Dark,6,0.5,27.818,7.996255731
6/14/23,Varari_Col2_Dil7_Dark,7,1,27.829,7.987516818
6/14/23,Varari_Col2_Dil8_Dark,8,2,27.793,7.9938993
6/14/23,Varari_Col2_Dil9_Dark,9,4,27.887,7.959322072
6/14/23,Varari_Col3_Dil1_Light,1,0,27.714,7.994816177
6/14/23,Varari_Col3_Dil2_Light,2,0.01,27.764,8.021108644
6/14/23,Varari_Col3_Dil3_Light,3,0.03,27.81,8.002025445
6/14/23,Varari_Col3_Dil4_Light,4,0.05,27.795,7.98863231
6/14/23,Varari_Col3_Dil5_Light,5,0.1,27.816,7.996704636
6/14/23,Varari_Col3_Dil6_Light,6,0.5,27.818,7.996255731
6/14/23,Varari_Col3_Dil7_Light,7,1,27.829,7.987516818
6/14/23,Varari_Col3_Dil8_Light,8,2,27.793,7.9938993
6/14/23,Varari_Col3_Dil9_Light,9,4,27.887,7.959322072
6/14/23,Varari_Col3_Dil1_Dark,1,0,27.714,7.994816177
6/14/23,Varari_Col3_Dil2_Dark,2,0.01,27.764,8.021108644
6/14/23,Varari_Col3_Dil3_Dark,3,0.03,27.81,8.002025445
6/14/23,Varari_Col3_Dil4_Dark,4,0.05,27.795,7.98863231
6/14/23,Varari_Col3_Dil5_Dark,5,0.1,27.816,7.996704636
6/14/23,Varari_Col3_Dil6_Dark,6,0.5,27.818,7.996255731
6/14/23,Varari_Col3_Dil7_Dark,7,1,27.829,7.987516818
6/14/23,Varari_Col3_Dil8_Dark,8,2,27.793,7.9938993
6/14/23,Varari_Col3_Dil9_Dark,9,4,27.887,7.959322072
6/14/23,Varari_Col4_Dil1_Light,1,0,28.695,8.012340938
6/14/23,Varari_Col4_Dil2_Light,2,0.01,28.644,7.926842749
6/14/23,Varari_Col4_Dil3_Light,3,0.03,28.724,7.974131193
6/14/23,Varari_Col4_Dil4_Light,4,0.05,28.809,7.977524233
6/14/23,Varari_Col4_Dil5_Light,5,0.1,28.728,7.983888717
6/14/23,Varari_Col4_Dil6_Light,6,0.5,28.782,7.994600756
6/14/23,Varari_Col4_Dil7_Light,7,1,28.788,8.015414786
6/14/23,Varari_Col4_Dil8_Light,8,2,28.741,7.987511582
6/14/23,Varari_Col4_Dil9_Light,9,4,28.826,7.979925701
6/14/23,Varari_Col4_Dil1_Dark,1,0,28.695,8.012340938
6/14/23,Varari_Col4_Dil2_Dark,2,0.01,28.644,7.926842749
6/14/23,Varari_Col4_Dil3_Dark,3,0.03,28.724,7.974131193
6/14/23,Varari_Col4_Dil4_Dark,4,0.05,28.809,7.977524233
6/14/23,Varari_Col4_Dil5_Dark,5,0.1,28.728,7.983888717
6/14/23,Varari_Col4_Dil6_Dark,6,0.5,28.782,7.994600756
6/14/23,Varari_Col4_Dil7_Dark,7,1,28.788,8.015414786
6/14/23,Varari_Col4_Dil8_Dark,8,2,28.741,7.987511582
6/14/23,Varari_Col4_Dil9_Dark,9,4,28.826,7.979925701
6/14/23,Varari_Col5_Dil1_Light,1,0,29.092,8.00330754
6/14/23,Varari_Col5_Dil2_Light,2,0.01,29.187,8.025282823
6/14/23,Varari_Col5_Dil3_Light,3,0.03,29.115,8.032791308
6/14/23,Varari_Col5_Dil4_Light,4,0.05,29.11,8.024526644
6/14/23,Varari_Col5_Dil5_Light,5,0.1,29.156,8.028865456
6/14/23,Varari_Col5_Dil6_Light,6,0.5,29.155,8.007009687
6/14/23,Varari_Col5_Dil7_Light,7,1,29.13,8.001972866
6/14/23,Varari_Col5_Dil8_Light,8,2,28.909,8.019957013
6/14/23,Varari_Col5_Dil9_Light,9,4,29.067,8.017619563
6/14/23,Varari_Col5_Dil1_Dark,1,0,29.092,8.00330754
6/14/23,Varari_Col5_Dil2_Dark,2,0.01,29.187,8.025282823
6/14/23,Varari_Col5_Dil3_Dark,3,0.03,29.115,8.032791308
6/14/23,Varari_Col5_Dil4_Dark,4,0.05,29.11,8.024526644
6/14/23,Varari_Col5_Dil5_Dark,5,0.1,29.156,8.028865456
6/14/23,Varari_Col5_Dil6_Dark,6,0.5,29.155,8.007009687
6/14/23,Varari_Col5_Dil7_Dark,7,1,29.13,8.001972866
6/14/23,Varari_Col5_Dil8_Dark,8,2,28.909,8.019957013
6/14/23,Varari_Col5_Dil9_Dark,9,4,29.067,8.017619563
6/14/23,Varari_Col6_Dil1_Light,1,0,29.092,8.00330754
6/14/23,Varari_Col6_Dil2_Light,2,0.01,29.187,8.025282823
6/14/23,Varari_Col6_Dil3_Light,3,0.03,29.115,8.032791308
6/14/23,Varari_Col6_Dil4_Light,4,0.05,29.11,8.024526644
6/14/23,Varari_Col6_Dil5_Light,5,0.1,29.156,8.028865456
6/14/23,Varari_Col6_Dil6_Light,6,0.5,29.155,8.007009687
6/14/23,Varari_Col6_Dil7_Light,7,1,29.13,8.001972866
6/14/23,Varari_Col6_Dil8_Light,8,2,28.909,8.019957013
6/14/23,Varari_Col6_Dil9_Light,9,4,29.067,8.017619563
6/14/23,Varari_Col6_Dil1_Dark,1,0,29.092,8.00330754
6/14/23,Varari_Col6_Dil2_Dark,2,0.01,29.187,8.025282823
6/14/23,Varari_Col6_Dil3_Dark,3,0.03,29.115,8.032791308
6/14/23,Varari_Col6_Dil4_Dark,4,0.05,29.11,8.024526644
6/14/23,Varari_Col6_Dil5_Dark,5,0.1,29.156,8.028865456
6/14/23,Varari_Col6_Dil6_Dark,6,0.5,29.155,8.007009687
6/14/23,Varari_Col6_Dil7_Dark,7,1,29.13,8.001972866
6/14/23,Varari_Col6_Dil8_Dark,8,2,28.909,8.019957013
6/14/23,Varari_Col6_Dil9_Dark,9,4,29.067,8.017619563
6/14/23,Varari_Col7_Dil1_Light,1,0,28.503,8.003403586
6/14/23,Varari_Col7_Dil2_Light,2,0.01,27.7,7.981415001
6/14/23,Varari_Col7_Dil3_Light,3,0.03,28.492,8.023610541
6/14/23,Varari_Col7_Dil4_Light,4,0.05,27.717,8.029750313
6/14/23,Varari_Col7_Dil5_Light,5,0.1,27.629,8.036250694
6/14/23,Varari_Col7_Dil6_Light,6,0.5,27.767,8.052272678
6/14/23,Varari_Col7_Dil7_Light,7,1,27.83,8.074193563
6/14/23,Varari_Col7_Dil8_Light,8,2,27.54,8.014719841
6/14/23,Varari_Col7_Dil9_Light,9,4,27.611,7.983610439
6/14/23,Varari_Col7_Dil1_Dark,1,0,28.503,8.003403586
6/14/23,Varari_Col7_Dil2_Dark,2,0.01,27.7,7.981415001
6/14/23,Varari_Col7_Dil3_Dark,3,0.03,28.492,8.023610541
6/14/23,Varari_Col7_Dil4_Dark,4,0.05,27.717,8.029750313
6/14/23,Varari_Col7_Dil5_Dark,5,0.1,27.629,8.036250694
6/14/23,Varari_Col7_Dil6_Dark,6,0.5,27.767,8.052272678
6/14/23,Varari_Col7_Dil7_Dark,7,1,27.83,8.074193563
6/14/23,Varari_Col7_Dil8_Dark,8,2,27.54,8.014719841
6/14/23,Varari_Col7_Dil9_Dark,9,4,27.611,7.983610439
6/14/23,Varari_Col8_Dil1_Light,1,0,28.503,8.003403586
6/14/23,Varari_Col8_Dil2_Light,2,0.01,27.7,7.981415001
6/14/23,Varari_Col8_Dil3_Light,3,0.03,28.492,8.023610541
6/14/23,Varari_Col8_Dil4_Light,4,0.05,27.717,8.029750313
6/14/23,Varari_Col8_Dil5_Light,5,0.1,27.629,8.036250694
6/14/23,Varari_Col8_Dil6_Light,6,0.5,27.767,8.052272678
6/14/23,Varari_Col8_Dil7_Light,7,1,27.83,8.074193563
6/14/23,Varari_Col8_Dil8_Light,8,2,27.54,8.014719841
6/14/23,Varari_Col8_Dil9_Light,9,4,27.611,7.983610439
6/14/23,Varari_Col8_Dil1_Dark,1,0,28.503,8.003403586
6/14/23,Varari_Col8_Dil2_Dark,2,0.01,27.7,7.981415001
6/14/23,Varari_Col8_Dil3_Dark,3,0.03,28.492,8.023610541
6/14/23,Varari_Col8_Dil4_Dark,4,0.05,27.717,8.029750313
6/14/23,Varari_Col8_Dil5_Dark,5,0.1,27.629,8.036250694
6/14/23,Varari_Col8_Dil6_Dark,6,0.5,27.767,8.052272678
6/14/23,Varari_Col8_Dil7_Dark,7,1,27.83,8.074193563
6/14/23,Varari_Col8_Dil8_Dark,8,2,27.54,8.014719841
6/14/23,Varari_Col8_Dil9_Dark,9,4,27.611,7.983610439