SampleID,TA,Mass,Sample.Index
Junk1,2393.277294,59.9374,1
Junk2,2356.915116,59.8867,2
postCabral_Col11_Dil1,2442.941134,59.8426,3
postCabral_Col12_Dil1,2466.661921,60.0539,4
postCabral_Blank_Dil1,2499.775504,60.1872,5
postCabral_Col11_Dil2,2464.5608,60.2829,6
postCabral_Col12_Dil2,2433.375697,59.9673,7
postCabral_Blank_Dil2,2461.851389,60.2066,8
postCabral_Col11_Dil3,2441.208201,60.0672,9
postCabral_Col12_Dil3,2501.603356,60.1462,10
postCabral_Blank_Dil3,2474.90874,60.0901,11
postCabral_Col11_Dil4,2428.873396,60.135,12
postCabral_Col12_Dil4,2540.811925,60.0942,13
postCabral_Blank_Dil4,2504.5199,60.0912,14
postCabral_Col11_Dil5,2437.535838,60.0584,15
postCabral_Col12_Dil5,2433.435378,60.3554,16
postCabral_Blank_Dil5,2439.310596,60.124,17
postCabral_Col11_Dil6,2467.21916,60.005,18
postCabral_Col12_Dil6,2196.818233,59.8654,19
postCabral_Blank_Dil6,2473.581771,60.3344,20
postCabral_Col11_Dil7,2348.298799,60.2433,21
postCabral_Col12_Dil7,2428.878627,60.0388,22
postCabral_Blank_Dil7,2384.700347,59.7251,23
postCabral_Col11_Dil8,2473.435503,59.8925,24
postCabral_Col12_Dil8,2430.050622,59.8359,25
postCabral_Blank_Dil8,2449.71186,59.7189,26
postCabral_Col11_Dil9,2420.249398,60.2898,27
postCabral_Col12_Dil9,2460.878232,59.9073,28
postCabral_Blank_Dil9,2456.162853,59.8888,29