SampleID,TA,Mass,Sample.Index,Averages
Junk1_PreC_Dil8_Col3.4,2426.350822,59.735,1,
Junk2_PreC_Dil4_Col3.4,2402.957774,59.7003,2,
PreVarari_Day1_Rerun_Dil1rep1,2438.393054,60.1605,3,
PreVarari_Day1_Rerun_Dil1rep2,2451.436668,60.2393,4,2440.699175
PreVarari_Day1_Rerun_Dil1rep3,2432.267804,60.1361,5,
PreVarari_Day1_Rerun_Dil2rep1,2424.975236,60.2566,6,
PreVarari_Day1_Rerun_Dil2rep2,2438.824692,60.1835,7,2437.499547
PreVarari_Day1_Rerun_Dil2rep3,2448.698714,60.0032,8,
PreVarari_Day1_Rerun_Dil3rep1,2474.430414,60.3117,9,
PreVarari_Day1_Rerun_Dil3rep2,2474.308882,60.106,10,2470.63337
PreVarari_Day1_Rerun_Dil3rep3,2463.160813,59.8402,11,
PreVarari_Day1_Rerun_Dil4rep1,2431.437741,60.3403,12,
PreVarari_Day1_Rerun_Dil4rep2,2426.748748,59.9398,13,2427.532743
PreVarari_Day1_Rerun_Dil4rep3,2424.411739,60.1015,14,
PreVarari_Day1_Rerun_Dil5rep1,2444.215158,59.8778,15,
PreVarari_Day1_Rerun_Dil5rep2,2443.326666,59.878,16,2441.384493
PreVarari_Day1_Rerun_Dil5rep3,2436.611654,59.896,17,
PreVarari_Day1_Rerun_Dil6rep1,2442.30474,59.8798,18,
PreVarari_Day1_Rerun_Dil6rep2,2447.432236,60.0876,19,2447.2949
PreVarari_Day1_Rerun_Dil6rep3,2452.147724,60.1627,20,
PreVarari_Day1_Rerun_Dil7rep1,2462.783611,60.1019,21,
PreVarari_Day1_Rerun_Dil7rep2,2463.667928,60.0363,22,2461.829614
PreVarari_Day1_Rerun_Dil7rep3,2459.037304,60.0552,23,
PreVarari_Day1_Rerun_Dil8rep1,2470.370419,60.3683,24,
PreVarari_Day1_Rerun_Dil8rep2,2469.992181,59.8026,25,2472.535253
PreVarari_Day1_Rerun_Dil8rep3,2477.243159,60.0343,26,
PreVarari_Day1_Rerun_Dil9rep1,2579.660674,60.2319,27,
PreVarari_Day1_Rerun_Dil9rep2,2577.868175,60.1541,28,2580.241802
PreVarari_Day1_Rerun_Dil9rep3,2583.196556,59.9438,29,