Sample_ID,sample_info,titration_dayblock,titration_numberorder,salinity_psu_calibr0915,site,SGD_number,col_blank,pre_post,date
Junk1,seawater,1,1,,Varari,,blank,pre,6/17/23
Junk2,seawater ,1,2,,Varari,,blank ,pre,6/17/23
preVarari_Dil1rep1,VDay1_pre_dil1rep1_06172023,1,3,37.22,Varari,0,blank ,pre,6/17/23
preVarari_Dil1rep2,VDay1_pre_dil1rep2_06172023,1,4,37.31,Varari,0,blank ,pre,6/17/23
preVarari_Dil1rep3,VDay1_pre_dil1rep3_06172023,1,5,37.26,Varari,0,blank ,pre,6/17/23
preVarari_Dil2rep1,VDay1_pre_dil2rep1_06172023,1,6,37.39,Varari,0.01,blank ,pre,6/17/23
preVarari_Dil2rep2,VDay1_pre_dil2rep2_06172023,1,7,37.33,Varari,0.01,blank ,pre,6/17/23
preVarari_Dil2rep3,VDay1_pre_dil2rep3_06172023,1,8,37.3,Varari,0.01,blank ,pre,6/17/23
preVarari_Dil3rep1,VDay1_pre_dil3rep1_06172023,1,9,37.28,Varari,0.03,blank ,pre,6/17/23
preVarari_Dil3rep2,VDay1_pre_dil3rep2_06172023,1,10,37.3,Varari,0.03,blank ,pre,6/17/23
preVarari_Dil3rep3,VDay1_pre_dil3rep3_06172023,1,11,37.35,Varari,0.03,blank ,pre,6/17/23
preVarari_Dil4rep1,VDay1_pre_dil4rep1_06172023,1,12,37.33,Varari,0.05,blank ,pre,6/17/23
preVarari_Dil4rep2,VDay1_pre_dil4rep2_06172023,1,13,37.27,Varari,0.05,blank ,pre,6/17/23
preVarari_Dil4rep3,VDay1_pre_dil4rep3_06172023,1,14,37.26,Varari,0.05,blank ,pre,6/17/23
preVarari_Dil5rep1,VDay1_pre_dil5rep1_06172023,1,15,37.31,Varari,0.1,blank ,pre,6/17/23
preVarari_Dil5rep2,VDay1_pre_dil5rep2_06172023,1,16,37.31,Varari,0.1,blank ,pre,6/17/23
preVarari_Dil5rep3,VDay1_pre_dil5rep3_06172023,1,17,37.22,Varari,0.1,blank ,pre,6/17/23
preVarari_Dil6rep1,VDay1_pre_dil6rep1_06172023,1,18,37.11,Varari,0.5,blank ,pre,6/17/23
preVarari_Dil6rep2,VDay1_pre_dil6rep2_06172023,1,19,37.05,Varari,0.5,blank ,pre,6/17/23
preVarari_Dil6rep3,VDay1_pre_dil6rep3_06172023,1,20,37.11,Varari,0.5,blank ,pre,6/17/23
preVarari_Dil7rep1,VDay1_pre_dil7rep1_06172023,1,21,36.91,Varari,1,blank ,pre,6/17/23
preVarari_Dil7rep2,VDay1_pre_dil7rep2_06172023,1,22,36.93,Varari,1,blank ,pre,6/17/23
preVarari_Dil7rep3,VDay1_pre_dil7rep3_06172023,1,23,36.9,Varari,1,blank ,pre,6/17/23
preVarari_Dil8rep1,VDay1_pre_dil8rep1_06172023,1,24,36.72,Varari,2,blank ,pre,6/17/23
preVarari_Dil8rep2,VDay1_pre_dil8rep2_06172023,1,25,36.56,Varari,2,blank ,pre,6/17/23
preVarari_Dil8rep3,VDay1_pre_dil8rep3_06172023,1,26,36.54,Varari,2,blank ,pre,6/17/23
preVarari_Dil9rep1,VDay1_pre_dil9rep1_06172023,1,27,35.87,Varari,4,blank ,pre,6/17/23
preVarari_Dil9rep2,VDay1_pre_dil9rep2_06172023,1,28,35.9,Varari,4,blank ,pre,6/17/23
preVarari_Dil9rep3,VDay1_pre_dil9rep3_06172023,1,29,35.89,Varari,4,blank ,pre,6/17/23
Junk1,seawater,2,1,,Varari,,coral,post,6/17/23
Junk2,seawater ,2,2,,Varari,,coral,post,6/17/23
postVarari_Col1_Dil1,VDay1_post_Col1Dil1_06172023,2,6,37.37,Varari,0,coral,post,6/17/23
postVarari_Col2_Dil1,VDay1_post_Col2Dil1_06172023,2,7,37.52,Varari,0,coral,post,6/17/23
postVarari_Blank_Dil1,VDay1_post_BlankDil1_06172023,2,8,37.66,Varari,0,coral,post,6/17/23
postVarari_Col1_Dil2,VDay1_post_Col1Dil2_06172023,2,9,37.42,Varari,0.01,coral,post,6/17/23
postVarari_Col2_Dil2,VDay1_post_Col2Dil2_06172023,2,10,37.54,Varari,0.01,coral,post,6/17/23
postVarari_Blank_Dil2,VDay1_post_BlankDil2_06172023,2,11,37.66,Varari,0.01,coral,post,6/17/23
postVarari_Col1_Dil3,VDay1_post_Col1Dil3_06172023,2,12,37.48,Varari,0.03,coral,post,6/17/23
postVarari_Col2_Dil3,VDay1_post_Col2Dil3_06172023,2,13,37.59,Varari,0.03,coral,post,6/17/23
postVarari_Blank_Dil3,VDay1_post_BlankDil3_06172023,2,14,37.66,Varari,0.03,coral,post,6/17/23
postVarari_Col1_Dil4,VDay1_post_Col1Dil4_06172023,2,15,37.36,Varari,0.05,coral,post,6/17/23
postVarari_Col2_Dil4,VDay1_post_Col2Dil4_06172023,2,16,37.49,Varari,0.05,coral,post,6/17/23
postVarari_Blank_Dil4,VDay1_post_BlankDil4_06172023,2,17,37.58,Varari,0.05,coral,post,6/17/23
postVarari_Col1_Dil5,VDay1_post_Col1Dil5_06172023,2,18,37.37,Varari,0.1,coral,post,6/17/23
postVarari_Col2_Dil5,VDay1_post_Col2Dil5_06172023,2,19,37.51,Varari,0.1,coral,post,6/17/23
postVarari_Blank_Dil5,VDay1_post_BlankDil5_06172023,2,20,37.5,Varari,0.1,coral,post,6/17/23
postVarari_Col1_Dil6,VDay1_post_Col1Dil6_06172023,2,21,37.17,Varari,0.5,coral,post,6/17/23
postVarari_Col2_Dil6,VDay1_post_Col2Dil6_06172023,2,22,37.3,Varari,0.5,coral,post,6/17/23
postVarari_Blank_Dil6,VDay1_post_BlankDil6_06172023,2,23,37.41,Varari,0.5,coral,post,6/17/23
postVarari_Col1_Dil7,VDay1_post_Col1Dil7_06172023,2,24,37.03,Varari,1,coral,post,6/17/23
postVarari_Col2_Dil7,VDay1_post_Col2Dil7_06172023,2,25,37.13,Varari,1,coral,post,6/17/23
postVarari_Blank_Dil7,VDay1_post_BlankDil7_06172023,2,26,37.22,Varari,1,coral,post,6/17/23
postVarari_Col1_Dil8,VDay1_post_Col1Dil8_06172023,2,27,36.74,Varari,2,coral,post,6/17/23
postVarari_Col2_Dil8,VDay1_post_Col2Dil8_06172023,2,28,36.75,Varari,2,coral,post,6/17/23
postVarari_Blank_Dil8,VDay1_post_BlankDil8_06172023,2,29,36.85,Varari,2,coral,post,6/17/23
postVarari_Col1_Dil9,VDay1_post_Col1Dil9_06172023,2,30,35.99,Varari,4,coral,post,6/17/23
postVarari_Col2_Dil9,VDay1_post_Col2Dil9_06172023,2,31,36.07,Varari,4,coral,post,6/17/23
postVarari_Blank_Dil9,VDay1_post_BlankDil9_06172023,2,32,36.13,Varari,4,coral,post,6/17/23
,seawater,3,1,,Varari,,coral,pre,6/18/23
,seawater ,3,2,,Varari,,coral,pre,6/18/23
preVarari_Dil1rep1,VDay2_pre_dil1rep1_06182023,3,3,36.43,Varari,0,coral,pre,6/18/23
preVarari_Dil1rep2,VDay2_pre_dil1rep2_06182023,3,4,36.49,Varari,0,coral,pre,6/18/23
preVarari_Dil1rep3,VDay2_pre_dil1rep3_06182023,3,5,36.4,Varari,0,coral,pre,6/18/23
preVarari_Dil2rep1,VDay2_pre_dil2rep1_06182023,3,6,36.76,Varari,0.01,coral,pre,6/18/23
preVarari_Dil2rep2,VDay2_pre_dil2rep2_06182023,3,7,36.73,Varari,0.01,coral,pre,6/18/23
preVarari_Dil2rep3,VDay2_pre_dil2rep3_06182023,3,8,36.74,Varari,0.01,coral,pre,6/18/23
preVarari_Dil3rep1,VDay2_pre_dil3rep1_06182023,3,9,36.77,Varari,0.03,coral,pre,6/18/23
preVarari_Dil3rep2,VDay2_pre_dil3rep2_06182023,3,10,36.77,Varari,0.03,coral,pre,6/18/23
preVarari_Dil3rep3,VDay2_pre_dil3rep3_06182023,3,11,36.79,Varari,0.03,coral,pre,6/18/23
preVarari_Dil4rep1,VDay2_pre_dil4rep1_06182023,3,12,36.49,Varari,0.05,coral,pre,6/18/23
preVarari_Dil4rep2,VDay2_pre_dil4rep2_06182023,3,13,36.55,Varari,0.05,coral,pre,6/18/23
preVarari_Dil4rep3,VDay2_pre_dil4rep3_06182023,3,14,36.51,Varari,0.05,coral,pre,6/18/23
preVarari_Dil5rep1,VDay2_pre_dil5rep1_06182023,3,15,36.76,Varari,0.1,coral,pre,6/18/23
preVarari_Dil5rep2,VDay2_pre_dil5rep2_06182023,3,16,36.67,Varari,0.1,coral,pre,6/18/23
preVarari_Dil5rep3,VDay2_pre_dil5rep3_06182023,3,17,36.66,Varari,0.1,coral,pre,6/18/23
preVarari_Dil6rep1,VDay2_pre_dil6rep1_06182023,3,18,36.45,Varari,0.5,coral,pre,6/18/23
preVarari_Dil6rep2,VDay2_pre_dil6rep2_06182023,3,19,36.52,Varari,0.5,coral,pre,6/18/23
preVarari_Dil6rep3,VDay2_pre_dil6rep3_06182023,3,20,36.49,Varari,0.5,coral,pre,6/18/23
preVarari_Dil7rep1,VDay2_pre_dil7rep1_06182023,3,21,36.18,Varari,1,coral,pre,6/18/23
preVarari_Dil7rep2,VDay2_pre_dil7rep2_06182023,3,22,36.19,Varari,1,coral,pre,6/18/23
preVarari_Dil7rep3,VDay2_pre_dil7rep3_06182023,3,23,36.19,Varari,1,coral,pre,6/18/23
preVarari_Dil8rep1,VDay2_pre_dil8rep1_06182023,3,24,36.02,Varari,2,coral,pre,6/18/23
preVarari_Dil8rep2,VDay2_pre_dil8rep2_06182023,3,25,36.04,Varari,2,coral,pre,6/18/23
preVarari_Dil8rep3,VDay2_pre_dil8rep3_06182023,3,26,36.05,Varari,2,coral,pre,6/18/23
preVarari_Dil9rep1,VDay2_pre_dil9rep1_06182023,3,27,35.34,Varari,4,coral,pre,6/18/23
preVarari_Dil9rep2,VDay2_pre_dil9rep2_06182023,3,28,35.32,Varari,4,coral,pre,6/18/23
preVarari_Dil9rep3,VDay2_pre_dil9rep3_06182023,3,29,35.27,Varari,4,coral,pre,6/18/23
Junk1,seawater,4,1,,Varari,,coral,post,6/18/23
Junk2,seawater,4,2,,Varari,,coral,post,6/18/23
postVarari_Col3_Dil1,VDay2_post_Col3Dil1_06182023,4,3,37.65,Varari,0,coral,post,6/18/23
postVarari_Col4_Dil1,VDay2_post_Col4Dil1_06182023,4,4,36.43,Varari,0,coral,post,6/18/23
postVarari_Blank_Dil1,VDay2_post_BlankDil1_06182023,4,5,36.53,Varari,0,coral,post,6/18/23
postVarari_Col3_Dil2,VDay2_post_Col3Dil2_06182023,4,6,37.58,Varari,0.01,coral,post,6/18/23
postVarari_Col4_Dil2,VDay2_post_Col4Dil2_06182023,4,7,36.79,Varari,0.01,coral,post,6/18/23
postVarari_Blank_Dil2,VDay2_post_BlankDil2_06182023,4,8,36.88,Varari,0.01,coral,post,6/18/23
postVarari_Col3_Dil3,VDay2_post_Col3Dil3_06182023,4,9,37.6,Varari,0.03,coral,post,6/18/23
postVarari_Col4_Dil3,VDay2_post_Col4Dil3_06182023,4,10,36.78,Varari,0.03,coral,post,6/18/23
postVarari_Blank_Dil3,VDay2_post_BlankDil3_06182023,4,11,36.97,Varari,0.03,coral,post,6/18/23
postVarari_Col3_Dil4,VDay2_post_Col3Dil4_06182023,4,12,37.55,Varari,0.05,coral,post,6/18/23
postVarari_Col4_Dil4,VDay2_post_Col4Dil4_06182023,4,13,36.51,Varari,0.05,coral,post,6/18/23
postVarari_Blank_Dil4,VDay2_post_BlankDil4_06182023,4,14,36.92,Varari,0.05,coral,post,6/18/23
postVarari_Col3_Dil5,VDay2_post_Col3Dil5_06182023,4,15,37.57,Varari,0.1,coral,post,6/18/23
postVarari_Col4_Dil5,VDay2_post_Col4Dil5_06182023,4,16,36.76,Varari,0.1,coral,post,6/18/23
postVarari_Blank_Dil5,VDay2_post_BlankDil5_06182023,4,17,36.86,Varari,0.1,coral,post,6/18/23
postVarari_Col3_Dil6,VDay2_post_Col3Dil6_06182023,4,18,37.42,Varari,0.5,coral,post,6/18/23
postVarari_Col4_Dil6,VDay2_post_Col4Dil6_06182023,4,19,36.49,Varari,0.5,coral,post,6/18/23
postVarari_Blank_Dil6,VDay2_post_BlankDil6_06182023,4,20,36.63,Varari,0.5,coral,post,6/18/23
postVarari_Col3_Dil7,VDay2_post_Col3Dil7_06182023,4,21,37.25,Varari,1,coral,post,6/18/23
postVarari_Col4_Dil7,VDay2_post_Col4Dil7_06182023,4,22,36.14,Varari,1,coral,post,6/18/23
postVarari_Blank_Dil7,VDay2_post_BlankDil7_06182023,4,23,36.23,Varari,1,coral,post,6/18/23
postVarari_Col3_Dil8,VDay2_post_Col3Dil8_06182023,4,24,36.88,Varari,2,coral,post,6/18/23
postVarari_Col4_Dil8,VDay2_post_Col4Dil8_06182023,4,25,36.06,Varari,2,coral,post,6/18/23
postVarari_Blank_Dil8,VDay2_post_BlankDil8_06182023,4,26,36.18,Varari,2,coral,post,6/18/23
postVarari_Col3_Dil9,VDay2_post_Col3Dil9_06182023,4,27,36.19,Varari,4,coral,post,6/18/23
postVarari_Col4_Dil9,VDay2_post_Col4Dil9_06182023,4,28,35.26,Varari,4,coral,post,6/18/23
postVarari_Blank_Dil9,VDay2_post_BlankDil9_06182023,4,29,35.48,Varari,4,coral,post,6/18/23
,seawater,5,1,,Varari,,,pre,6/20/23
,seawater,5,2,,Varari,,,pre,6/20/23
preVarari_Dil1rep1,VDay3_pre_dil1rep1_06202023,5,3,36.46,Varari,0,,pre,6/20/23
preVarari_Dil1rep2,VDay3_pre_dil1rep2_06202023,5,4,36.41,Varari,0,,pre,6/20/23
preVarari_Dil1rep3,VDay3_pre_dil1rep3_06202023,5,5,36.43,Varari,0,,pre,6/20/23
preVarari_Dil2rep1,VDay3_pre_dil2rep1_06202023,5,6,36.48,Varari,0.01,,pre,6/20/23
preVarari_Dil2rep2,VDay3_pre_dil2rep2_06202023,5,7,36.39,Varari,0.01,,pre,6/20/23
preVarari_Dil2rep3,VDay3_pre_dil2rep3_06202023,5,8,36.52,Varari,0.01,,pre,6/20/23
preVarari_Dil3rep1,VDay3_pre_dil3rep1_06202023,5,9,36.37,Varari,0.03,,pre,6/20/23
preVarari_Dil3rep2,VDay3_pre_dil3rep2_06202023,5,10,36.38,Varari,0.03,,pre,6/20/23
preVarari_Dil3rep3,VDay3_pre_dil3rep3_06202023,5,11,36.46,Varari,0.03,,pre,6/20/23
preVarari_Dil4rep1,VDay3_pre_dil4rep1_06202023,5,12,36.34,Varari,0.05,,pre,6/20/23
preVarari_Dil4rep2,VDay3_pre_dil4rep2_06202023,5,13,36.33,Varari,0.05,,pre,6/20/23
preVarari_Dil4rep3,VDay3_pre_dil4rep3_06202023,5,14,36.36,Varari,0.05,,pre,6/20/23
preVarari_Dil5rep1,VDay3_pre_dil5rep1_06202023,5,15,36.38,Varari,0.1,,pre,6/20/23
preVarari_Dil5rep2,VDay3_pre_dil5rep2_06202023,5,16,36.33,Varari,0.1,,pre,6/20/23
preVarari_Dil5rep3,VDay3_pre_dil5rep3_06202023,5,17,36.34,Varari,0.1,,pre,6/20/23
preVarari_Dil6rep1,VDay3_pre_dil6rep1_06202023,5,18,36.13,Varari,0.5,,pre,6/20/23
preVarari_Dil6rep2,VDay3_pre_dil6rep2_06202023,5,19,36.25,Varari,0.5,,pre,6/20/23
preVarari_Dil6rep3,VDay3_pre_dil6rep3_06202023,5,20,36.23,Varari,0.5,,pre,6/20/23
preVarari_Dil7rep1,VDay3_pre_dil7rep1_06202023,5,21,36.03,Varari,1,,pre,6/20/23
preVarari_Dil7rep2,VDay3_pre_dil7rep2_06202023,5,22,36.07,Varari,1,,pre,6/20/23
preVarari_Dil7rep3,VDay3_pre_dil7rep3_06202023,5,23,36.06,Varari,1,,pre,6/20/23
preVarari_Dil8rep1,VDay3_pre_dil8rep1_06202023,5,24,35.84,Varari,2,,pre,6/20/23
preVarari_Dil8rep2,VDay3_pre_dil8rep2_06202023,5,25,35.92,Varari,2,,pre,6/20/23
preVarari_Dil8rep3,VDay3_pre_dil8rep3_06202023,5,26,35.03,Varari,2,,pre,6/20/23
preVarari_Dil9rep1,VDay3_pre_dil9rep1_06202023,5,27,35.07,Varari,4,,pre,6/20/23
preVarari_Dil9rep2,VDay3_pre_dil9rep2_06202023,5,28,35.09,Varari,4,,pre,6/20/23
preVarari_Dil9rep3,VDay3_pre_dil9rep3_06202023,5,29,35.15,Varari,4,,pre,6/20/23
Junk1,seawater,6,1,,Varari,,,post,6/20/23
Junk2,seawater,6,2,,Varari,,,post,6/20/23
postVarari_Col5_Dil1,VDay3_post_Col5Dil1_06202023,6,3,35.92,Varari,0,,post,6/20/23
postVarari_Col6_Dil1,VDay3_post_Col6Dil1_06202023,6,4,36.62,Varari,0,,post,6/20/23
postVarari_Blank_Dil1,VDay3_post_BlankDil1_06202023,6,5,36.76,Varari,0,,post,6/20/23
postVarari_Col5_Dil2,VDay3_post_Col5Dil2_06202023,6,6,36.63,Varari,0.01,,post,6/20/23
postVarari_Col6_Dil2,VDay3_post_Col6Dil2_06202023,6,7,36.72,Varari,0.01,,post,6/20/23
postVarari_Blank_Dil2,VDay3_post_BlankDil2_06202023,6,8,36.76,Varari,0.01,,post,6/20/23
postVarari_Col5_Dil3,VDay3_post_Col5Dil3_06202023,6,9,36.35,Varari,0.03,,post,6/20/23
postVarari_Col6_Dil3,VDay3_post_Col6Dil3_06202023,6,10,36.58,Varari,0.03,,post,6/20/23
postVarari_Blank_Dil3,VDay3_post_BlankDil3_06202023,6,11,36.65,Varari,0.03,,post,6/20/23
postVarari_Col5_Dil4,VDay3_post_Col5Dil4_06202023,6,12,36.4,Varari,0.05,,post,6/20/23
postVarari_Col6_Dil4,VDay3_post_Col6Dil4_06202023,6,13,36.58,Varari,0.05,,post,6/20/23
postVarari_Blank_Dil4,VDay3_post_BlankDil4_06202023,6,14,36.68,Varari,0.05,,post,6/20/23
postVarari_Col5_Dil5,VDay3_post_Col5Dil5_06202023,6,15,36.4,Varari,0.1,,post,6/20/23
postVarari_Col6_Dil5,VDay3_post_Col6Dil5_06202023,6,16,36.47,Varari,0.1,,post,6/20/23
postVarari_Blank_Dil5,VDay3_post_BlankDil5_06202023,6,17,36.59,Varari,0.1,,post,6/20/23
postVarari_Col5_Dil6,VDay3_post_Col5Dil6_06202023,6,18,36.35,Varari,0.5,,post,6/20/23
postVarari_Col6_Dil6,VDay3_post_Col6Dil6_06202023,6,19,36.39,Varari,0.5,,post,6/20/23
postVarari_Blank_Dil6,VDay3_post_BlankDil6_06202023,6,20,36.48,Varari,0.5,,post,6/20/23
postVarari_Col5_Dil7,VDay3_post_Col5Dil7_06202023,6,21,36.05,Varari,1,,post,6/20/23
postVarari_Col6_Dil7,VDay3_post_Col6Dil7_06202023,6,22,36.2,Varari,1,,post,6/20/23
postVarari_Blank_Dil7,VDay3_post_BlankDil7_06202023,6,23,36.32,Varari,1,,post,6/20/23
postVarari_Col5_Dil8,VDay3_post_Col5Dil8_06202023,6,24,35.83,Varari,2,,post,6/20/23
postVarari_Col6_Dil8,VDay3_post_Col6Dil8_06202023,6,25,35.91,Varari,2,,post,6/20/23
postVarari_Blank_Dil8,VDay3_post_BlankDil8_06202023,6,26,35.82,Varari,2,,post,6/20/23
postVarari_Col5_Dil9,VDay3_post_Col5Dil9_06202023,6,27,35,Varari,4,,post,6/20/23
postVarari_Col6_Dil9,VDay3_post_Col6Dil9_06202023,6,28,35.12,Varari,4,,post,6/20/23
postVarari_Blank_Dil9,VDay3_post_BlankDil9_06202023,6,29,35.34,Varari,4,,post,6/20/23
,seawater,7,1,,Varari,,,pre,6/21/23
,seawater,7,2,,Varari,,,pre,6/21/23
preVarari_Dil1rep1_Day4,VDay4_pre_dil1rep1_06212023,7,3,36.49,Varari,0,,pre,6/21/23
preVarari_Dil1rep2_Day4,VDay4_pre_dil1rep2_06212023,7,4,36.44,Varari,0,,pre,6/21/23
preVarari_Dil1rep3_Day4,VDay4_pre_dil1rep3_06212023,7,5,36.49,Varari,0,,pre,6/21/23
preVarari_Dil2rep1_Day4,VDay4_pre_dil2rep1_06212023,7,6,36.58,Varari,0.01,,pre,6/21/23
preVarari_Dil2rep2_Day4,VDay4_pre_dil2rep2_06212023,7,7,36.58,Varari,0.01,,pre,6/21/23
preVarari_Dil2rep3_Day4,VDay4_pre_dil2rep3_06212023,7,8,36.62,Varari,0.01,,pre,6/21/23
preVarari_Dil3rep1_Day4,VDay4_pre_dil3rep1_06212023,7,9,36.54,Varari,0.03,,pre,6/21/23
preVarari_Dil3rep2_Day4,VDay4_pre_dil3rep2_06212023,7,10,36.56,Varari,0.03,,pre,6/21/23
preVarari_Dil3rep3_Day4,VDay4_pre_dil3rep3_06212023,7,11,36.48,Varari,0.03,,pre,6/21/23
preVarari_Dil4rep1_Day4,VDay4_pre_dil4rep1_06212023,7,12,36.51,Varari,0.05,,pre,6/21/23
preVarari_Dil4rep2_Day4,VDay4_pre_dil4rep2_06212023,7,13,36.48,Varari,0.05,,pre,6/21/23
preVarari_Dil4rep3_Day4,VDay4_pre_dil4rep3_06212023,7,14,36.47,Varari,0.05,,pre,6/21/23
preVarari_Dil5rep1_Day4,VDay4_pre_dil5rep1_06212023,7,15,36.56,Varari,0.1,,pre,6/21/23
preVarari_Dil5rep2_Day4,VDay4_pre_dil5rep2_06212023,7,16,36.53,Varari,0.1,,pre,6/21/23
preVarari_Dil5rep3_Day4,VDay4_pre_dil5rep3_06212023,7,17,36.56,Varari,0.1,,pre,6/21/23
preVarari_Dil6rep1_Day4,VDay4_pre_dil6rep1_06212023,7,18,36.44,Varari,0.5,,pre,6/21/23
preVarari_Dil6rep2_Day4,VDay4_pre_dil6rep2_06212023,7,19,36.41,Varari,0.5,,pre,6/21/23
preVarari_Dil6rep3_Day4,VDay4_pre_dil6rep3_06212023,7,20,36.4,Varari,0.5,,pre,6/21/23
preVarari_Dil7rep1_Day4,VDay4_pre_dil7rep1_06212023,7,21,36.13,Varari,1,,pre,6/21/23
preVarari_Dil7rep2_Day4,VDay4_pre_dil7rep2_06212023,7,22,36.14,Varari,1,,pre,6/21/23
preVarari_Dil7rep3_Day4,VDay4_pre_dil7rep3_06212023,7,23,36.14,Varari,1,,pre,6/21/23
preVarari_Dil8rep1_Day4,VDay4_pre_dil8rep1_06212023,7,24,36.03,Varari,2,,pre,6/21/23
preVarari_Dil8rep2_Day4,VDay4_pre_dil8rep2_06212023,7,25,36.02,Varari,2,,pre,6/21/23
preVarari_Dil8rep3_Day4,VDay4_pre_dil8rep3_06212023,7,26,36.02,Varari,2,,pre,6/21/23
preVarari_Dil9rep1_Day4,VDay4_pre_dil9rep1_06212023,7,27,35.28,Varari,4,,pre,6/21/23
preVarari_Dil9rep2_Day4,VDay4_pre_dil9rep2_06212023,7,28,35.37,Varari,4,,pre,6/21/23
preVarari_Dil9rep3_Day4,VDay4_pre_dil9rep3_06212023,7,29,35.28,Varari,4,,pre,6/21/23
Junk1,seawater,8,1,,Varari,,,post,6/21/23
Junk2,seawater,8,2,,Varari,,,post,6/21/23
postVarari_Col7_Dil1,VDay4_post_Col7Dil1_06212023,8,3,36.62,Varari,0,,post,6/21/23
postVarari_Col8_Dil1,VDay4_post_Col8Dil1_06212023,8,4,37.11,Varari,0,,post,6/21/23
postVarari_Blank_Dil1,VDay4_post_BlankDil1_06212023,8,5,37.18,Varari,0,,post,6/21/23
postVarari_Col7_Dil2,VDay4_post_Col7Dil2_06212023,8,6,36.54,Varari,0.01,,post,6/21/23
postVarari_Col8_Dil2,VDay4_post_Col8Dil2_06212023,8,7,36.99,Varari,0.01,,post,6/21/23
postVarari_Blank_Dil2,VDay4_post_BlankDil2_06202023,8,8,37.15,Varari,0.01,,post,6/21/23
postVarari_Col7_Dil3,VDay4_post_Col7Dil3_06212023,8,9,36.53,Varari,0.03,,post,6/21/23
postVarari_Col8_Dil3,VDay4_post_Col8Dil3_06212023,8,10,37.06,Varari,0.03,,post,6/21/23
postVarari_Blank_Dil3,VDay4_post_BlankDil3_06212023,8,11,37.04,Varari,0.03,,post,6/21/23
postVarari_Col7_Dil4,VDay4_post_Col7Dil4_06212023,8,12,36.49,Varari,0.05,,post,6/21/23
postVarari_Col8_Dil4,VDay4_post_Col8Dil4_06212023,8,13,36.95,Varari,0.05,,post,6/21/23
postVarari_Blank_Dil4,VDay4_post_BlankDil4_06212023,8,14,37.1,Varari,0.05,,post,6/21/23
postVarari_Col7_Dil5,VDay4_post_Col7Dil5_06212023,8,15,36.58,Varari,0.1,,post,6/21/23
postVarari_Col8_Dil5,VDay4_post_Col8Dil5_06212023,8,16,36.95,Varari,0.1,,post,6/21/23
postVarari_Blank_Dil5,VDay4_post_BlankDil5_06212023,8,17,37.03,Varari,0.1,,post,6/21/23
postVarari_Col7_Dil6,VDay4_post_Col7Dil6_06212023,8,18,36.45,Varari,0.5,,post,6/21/23
postVarari_Col8_Dil6,VDay4_post_Col8Dil6_06212023,8,19,36.02,Varari,0.5,,post,6/21/23
postVarari_Blank_Dil6,VDay4_post_BlankDil6_06212023,8,20,36.91,Varari,0.5,,post,6/21/23
